PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI,Abstract,Combined_Text,category
,Predicting hosts based on early SARS-CoV-2 samples and analyzing later world-wide pandemic in 2020,"Guo, Q.; Li, M.; Wang, C.; Guo, J.; Jiang, X.; Tan, J.; Wu, S.; Wang, P.; Xiao, T.; Zhou, M.; Fang, Z.; Xiao, Y.; Zhu, H.",,,Bioinformatics,2021,2021-03-22 00:00:00 UTC,,,10.1101/2021.03.21.436312,"The SARS-CoV-2 pandemic has raised the concern for identifying hosts of the virus since the early-stage outbreak. To address this problem, we proposed a deep learning method, DeepHoF, based on extracting the viral genomic features automatically, to predict host likelihood scores on five host types, including plant, germ, invertebrate, non-human vertebrate and human, for novel viruses. DeepHoF made up for the lack of an accurate tool applicable to any novel virus and overcame the limitation of the sequence similarity-based methods, reaching a satisfactory AUC of 0.987 on the five-classification. Additionally, to fill the gap in the efficient inference of host species for SARS-CoV-2 using existed tools, we conducted a deep analysis on the host likelihood profile calculated by DeepHoF. Using the isolates sequenced in the earliest stage of COVID-19, we inferred minks, bats, dogs and cats were potential hosts of SARS-CoV-2, while minks might be one of the most noteworthy hosts. Several genes of SARS-CoV-2 demonstrated their significance in determining the host range. Furthermore, the large-scale genome analysis, based on DeepHoFs computation for the later world-wide pandemic in 2020, disclosed the uniformity of host range among SARS-CoV-2 samples and the strong association of SARS-CoV-2 between humans and minks.","Predicting hosts based on early SARS-CoV-2 samples and analyzing later world-wide pandemic in 2020 The SARS-CoV-2 pandemic has raised the concern for identifying hosts of the virus since the early-stage outbreak. To address this problem, we proposed a deep learning method, DeepHoF, based on extracting the viral genomic features automatically, to predict host likelihood scores on five host types, including plant, germ, invertebrate, non-human vertebrate and human, for novel viruses. DeepHoF made up for the lack of an accurate tool applicable to any novel virus and overcame the limitation of the sequence similarity-based methods, reaching a satisfactory AUC of 0.987 on the five-classification. Additionally, to fill the gap in the efficient inference of host species for SARS-CoV-2 using existed tools, we conducted a deep analysis on the host likelihood profile calculated by DeepHoF. Using the isolates sequenced in the earliest stage of COVID-19, we inferred minks, bats, dogs and cats were potential hosts of SARS-CoV-2, while minks might be one of the most noteworthy hosts. Several genes of SARS-CoV-2 demonstrated their significance in determining the host range. Furthermore, the large-scale genome analysis, based on DeepHoFs computation for the later world-wide pandemic in 2020, disclosed the uniformity of host range among SARS-CoV-2 samples and the strong association of SARS-CoV-2 between humans and minks.",Bioinformatics
,Genomic Surveillance of COVID-19 Variants with Language Models and Machine Learning,"Nagpal, S.; Pal, R.; Ashima,  ; Tyagi, A.; Tripathi, S.; Nagori, A.; Ahmad, S.; Mishra, H. P.; Kutum, R.; Sethi, T.",,,Bioinformatics,2022,2022-04-04 00:00:00 UTC,,,10.1101/2021.05.25.445601,"The global efforts to control COVID-19 are threatened by the rapid emergence of novel SARS-CoV-2 variants that may display undesirable characteristics such as immune escape, increased transmissibility or pathogenicity. Early prediction for emergence of new strains with these features is critical for pandemic preparedness. We present Strainflow, a supervised and causally predictive model using unsupervised latent space features of SARS-CoV-2 genome sequences. Strainflow was trained and validated on 0.9 million sequences for the period December, 2019 to June, 2021 and the frozen model was prospectively validated from July, 2021 to December, 2021. Strainflow captured the rise in cases two months ahead of the Delta and Omicron surges in most countries including the prediction of a surge in India as early as beginning of November, 2021. Entropy analysis of Strainflow unsupervised embeddings clearly reveals the explore-exploit cycles in genomic feature-space, thus adding interpretability to the deep learning based model. We also conducted codon-level analysis of our model for interpretability and biological validity of our unsupervised features. Strainflow application is openly available as an interactive web-application for prospective genomic surveillance of COVID-19 across the globe.","Genomic Surveillance of COVID-19 Variants with Language Models and Machine Learning The global efforts to control COVID-19 are threatened by the rapid emergence of novel SARS-CoV-2 variants that may display undesirable characteristics such as immune escape, increased transmissibility or pathogenicity. Early prediction for emergence of new strains with these features is critical for pandemic preparedness. We present Strainflow, a supervised and causally predictive model using unsupervised latent space features of SARS-CoV-2 genome sequences. Strainflow was trained and validated on 0.9 million sequences for the period December, 2019 to June, 2021 and the frozen model was prospectively validated from July, 2021 to December, 2021. Strainflow captured the rise in cases two months ahead of the Delta and Omicron surges in most countries including the prediction of a surge in India as early as beginning of November, 2021. Entropy analysis of Strainflow unsupervised embeddings clearly reveals the explore-exploit cycles in genomic feature-space, thus adding interpretability to the deep learning based model. We also conducted codon-level analysis of our model for interpretability and biological validity of our unsupervised features. Strainflow application is openly available as an interactive web-application for prospective genomic surveillance of COVID-19 across the globe.",Bioinformatics
,Classifying COVID-19 variants based on genetic sequences using deep learning models,"Basu, S.; Campbell, R. H.",,,Bioinformatics,2021,2021-06-30 00:00:00 UTC,,,10.1101/2021.06.29.450335,"The COrona VIrus Disease (COVID-19) pandemic led to the occurrence of several variants with time. This has led to an increased importance of understanding sequence data related to COVID-19. In this chapter, we propose an alignment-free k-mer based LSTM (Long Short-Term Memory) deep learning model that can classify 20 different variants of COVID-19. We handle the class imbalance problem by sampling a fixed number of sequences for each class label. We handle the vanishing gradient problem in LSTMs arising from long sequences by dividing the sequence into fixed lengths and obtaining results on individual runs. Our results show that one-vs-all classifiers have test accuracies as high as 92.5% with tuned hyperparameters compared to the multi-class classifier model. Our experiments show higher overall accuracies for B.1.1.214, B.1.177.21, B.1.1.7, B.1.526, and P.1 on the one-vs-all classifiers, suggesting the presence of distinct mutations in these variants. Our results show that embedding vector size and batch sizes have insignificant improvement in accuracies, but changing from 2-mers to 3-mers mostly improves accuracies. We also studied individual runs which show that most accuracies improved after the 20th run, indicating that these sequence positions may have more contributions to distinguishing among different COVID-19 variants.","Classifying COVID-19 variants based on genetic sequences using deep learning models The COrona VIrus Disease (COVID-19) pandemic led to the occurrence of several variants with time. This has led to an increased importance of understanding sequence data related to COVID-19. In this chapter, we propose an alignment-free k-mer based LSTM (Long Short-Term Memory) deep learning model that can classify 20 different variants of COVID-19. We handle the class imbalance problem by sampling a fixed number of sequences for each class label. We handle the vanishing gradient problem in LSTMs arising from long sequences by dividing the sequence into fixed lengths and obtaining results on individual runs. Our results show that one-vs-all classifiers have test accuracies as high as 92.5% with tuned hyperparameters compared to the multi-class classifier model. Our experiments show higher overall accuracies for B.1.1.214, B.1.177.21, B.1.1.7, B.1.526, and P.1 on the one-vs-all classifiers, suggesting the presence of distinct mutations in these variants. Our results show that embedding vector size and batch sizes have insignificant improvement in accuracies, but changing from 2-mers to 3-mers mostly improves accuracies. We also studied individual runs which show that most accuracies improved after the 20th run, indicating that these sequence positions may have more contributions to distinguishing among different COVID-19 variants.",Bioinformatics
,ImputeCoVNet: 2D ResNet Autoencoder for Imputation of SARS-CoV-2 Sequences,"Pesaranghader, A.; Pelletier, J.; Grenier, J.-C.; Poujol, R.; Hussin, J.",,,Bioinformatics,2022,2022-06-06 00:00:00 UTC,,,10.1101/2021.08.13.456305,"We describe a new deep learning approach for the imputation of SARS-CoV-2 variants. Our model, ImputeCoVNet, consists of a 2D ResNet Autoencoder that aims at imputing missing genetic variants in SARS-CoV-2 sequences in an efficient manner. We show that ImputeCoVNet leads to accurate results at minor allele frequencies as low as 0.0001. When compared with an approach based on Hamming distance, ImputeCoVNet achieved comparable results with significantly less computation time. We also present the provision of geographical metadata (e.g., exposed country) to decoder increases the imputation accuracy. Additionally, by visualizing the embedding results of SARS-CoV-2 variants, we show that the trained encoder of ImputeCoVNet, or the embedded results from it, recapitulates viral clades information, which means it could be used for predictive tasks using virus sequence analysis.","ImputeCoVNet: 2D ResNet Autoencoder for Imputation of SARS-CoV-2 Sequences We describe a new deep learning approach for the imputation of SARS-CoV-2 variants. Our model, ImputeCoVNet, consists of a 2D ResNet Autoencoder that aims at imputing missing genetic variants in SARS-CoV-2 sequences in an efficient manner. We show that ImputeCoVNet leads to accurate results at minor allele frequencies as low as 0.0001. When compared with an approach based on Hamming distance, ImputeCoVNet achieved comparable results with significantly less computation time. We also present the provision of geographical metadata (e.g., exposed country) to decoder increases the imputation accuracy. Additionally, by visualizing the embedding results of SARS-CoV-2 variants, we show that the trained encoder of ImputeCoVNet, or the embedded results from it, recapitulates viral clades information, which means it could be used for predictive tasks using virus sequence analysis.",Bioinformatics
,Deep learning based on stacked sparse autoencoder applied to viral genome classification of SARS-CoV-2 virus,"Coutinho, G. G. F.; Camara, G. B. M.; Barbosa, R. D. M.; Fernandes, M. A. C.",,,Bioinformatics,2021,2021-10-15 00:00:00 UTC,,,10.1101/2021.10.14.464414,"Since December 2019, the world has been intensely affected by the COVID-19 pandemic, caused by the SARS-CoV-2 virus, first identified in Wuhan, China. In the case of a novel virus identification, the early elucidation of taxonomic classification and origin of the virus genomic sequence is essential for strategic planning, containment, and treatments. Deep learning techniques have been successfully used in many viral classification problems associated with viral infections diagnosis, metagenomics, phylogenetic, and analysis. This work proposes to generate an efficient viral genome classifier for the SARS-CoV-2 virus using the deep neural network (DNN) based on stacked sparse autoencoder (SSAE) technique. We performed four different experiments to provide different levels of taxonomic classification of the SARS-CoV-2 virus. The confusion matrix presented the validation and test sets and the ROC curve for the validation set. In all experiments, the SSAE technique provided great performance results. In this work, we explored the utilization of image representations of the complete genome sequences as the SSAE input to provide a viral classification of the SARS-CoV-2. For that, a dataset based on k-mers image representation, with k = 6, was applied. The results indicated the applicability of using this deep learning technique in genome classification problems.","Deep learning based on stacked sparse autoencoder applied to viral genome classification of SARS-CoV-2 virus Since December 2019, the world has been intensely affected by the COVID-19 pandemic, caused by the SARS-CoV-2 virus, first identified in Wuhan, China. In the case of a novel virus identification, the early elucidation of taxonomic classification and origin of the virus genomic sequence is essential for strategic planning, containment, and treatments. Deep learning techniques have been successfully used in many viral classification problems associated with viral infections diagnosis, metagenomics, phylogenetic, and analysis. This work proposes to generate an efficient viral genome classifier for the SARS-CoV-2 virus using the deep neural network (DNN) based on stacked sparse autoencoder (SSAE) technique. We performed four different experiments to provide different levels of taxonomic classification of the SARS-CoV-2 virus. The confusion matrix presented the validation and test sets and the ROC curve for the validation set. In all experiments, the SSAE technique provided great performance results. In this work, we explored the utilization of image representations of the complete genome sequences as the SSAE input to provide a viral classification of the SARS-CoV-2. For that, a dataset based on k-mers image representation, with k = 6, was applied. The results indicated the applicability of using this deep learning technique in genome classification problems.",Bioinformatics
,A multi-class gene classifier for SARS-CoV-2 variants based on convolutional neural network,"Fan, J.; Chen, C.; Song, C.; Pan, J.; Wu, G.",,,Bioinformatics,2021,2021-11-23 00:00:00 UTC,,,10.1101/2021.11.22.469492,"Surveillance of circulating variants of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is of great importance in controlling the coronavirus disease 2019 (COVID-19) pandemic. We propose an alignment-free in silico approach for classifying SARS-CoV-2 variants based on their genomic sequences. A deep learning model was constructed utilizing a stacked 1-D convolutional neural network and multilayer perceptron (MLP). The pre-processed genomic sequencing data of the four SARS-CoV-2 variants were first fed to three stacked convolution-pooling nets to extract local linkage patterns in the sequences. Then a 2-layer MLP was used to compute the correlations between the input and output. Finally, a logistic regression model transformed the output and returned the probability values. Learning curves and stratified 10-fold cross-validation showed that the proposed classifier enables robust variant classification. External validation of the classifier showed an accuracy of 0.9962, precision of 0.9963, recall of 0.9963 and F1 score of 0.9962, outperforming other machine learning methods, including logistic regression, K-nearest neighbor, support vector machine, and random forest. By comparing our model with an MLP model without the convolution-pooling network, we demonstrate the essential role of convolution in extracting viral variant features. Thus, our results indicate that the proposed convolution-based multi-class gene classifier is efficient for the variant classification of SARS-CoV-2.","A multi-class gene classifier for SARS-CoV-2 variants based on convolutional neural network Surveillance of circulating variants of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is of great importance in controlling the coronavirus disease 2019 (COVID-19) pandemic. We propose an alignment-free in silico approach for classifying SARS-CoV-2 variants based on their genomic sequences. A deep learning model was constructed utilizing a stacked 1-D convolutional neural network and multilayer perceptron (MLP). The pre-processed genomic sequencing data of the four SARS-CoV-2 variants were first fed to three stacked convolution-pooling nets to extract local linkage patterns in the sequences. Then a 2-layer MLP was used to compute the correlations between the input and output. Finally, a logistic regression model transformed the output and returned the probability values. Learning curves and stratified 10-fold cross-validation showed that the proposed classifier enables robust variant classification. External validation of the classifier showed an accuracy of 0.9962, precision of 0.9963, recall of 0.9963 and F1 score of 0.9962, outperforming other machine learning methods, including logistic regression, K-nearest neighbor, support vector machine, and random forest. By comparing our model with an MLP model without the convolution-pooling network, we demonstrate the essential role of convolution in extracting viral variant features. Thus, our results indicate that the proposed convolution-based multi-class gene classifier is efficient for the variant classification of SARS-CoV-2.",Bioinformatics
,A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis,"Green, A. G.; Yoon, C. H.; Chen, M. L.; Freschi, L.; Gro?schel, M. I.; Kohane, I. S.; Beam, A.; Farhat, M. R.",,,Genomics,2021,2021-12-07 00:00:00 UTC,,,10.1101/2021.12.06.471431,"Long diagnostic wait times hinder international efforts to address multi-drug resistance in M. tuberculosis. Pathogen whole genome sequencing, coupled with statistical and machine learning models, offers a promising solution. However, generalizability and clinical adoption have been limited in part by a lack of interpretability and verifiability, especially in deep learning methods. Here, we present a deep convolutional neural network (CNN) that predicts the antibiotic resistance phenotypes of M. tuberculosis isolates. The CNN performs with state-of-the-art levels of predictive accuracy. Evaluation of salient sequence features permits biologically meaningful interpretation and validation of the CNNs predictions, with promising repercussions for functional variant discovery, clinical applicability, and translation to phenotype prediction in other organisms.","A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis Long diagnostic wait times hinder international efforts to address multi-drug resistance in M. tuberculosis. Pathogen whole genome sequencing, coupled with statistical and machine learning models, offers a promising solution. However, generalizability and clinical adoption have been limited in part by a lack of interpretability and verifiability, especially in deep learning methods. Here, we present a deep convolutional neural network (CNN) that predicts the antibiotic resistance phenotypes of M. tuberculosis isolates. The CNN performs with state-of-the-art levels of predictive accuracy. Evaluation of salient sequence features permits biologically meaningful interpretation and validation of the CNNs predictions, with promising repercussions for functional variant discovery, clinical applicability, and translation to phenotype prediction in other organisms.",Genomics
,Language Models for the Prediction of SARS-CoV-2 Inhibitors,"Blanchard, A. E.; Gounley, J.; Bhowmik, D.; Chandra Shekar, M.; Lyngaas, I.; Gao, S.; Yin, J.; Tsaris, A.; Wang, F.; Glaser, J.",,,Bioinformatics,2021,2021-12-14 00:00:00 UTC,,,10.1101/2021.12.10.471928,"The COVID-19 pandemic highlights the need for computational tools to automate and accelerate drug design for novel protein targets. We leverage deep learning language models to generate and score drug candidates based on predicted protein binding affinity. We pre-trained a deep learning language model (BERT) on [~]9.6 billion molecules and achieved peak performance of 603 petaflops in mixed precision. Our work reduces pre-training time from days to hours, compared to previous efforts with this architecture, while also increasing the dataset size by nearly an order of magnitude. For scoring, we fine-tuned the language model using an assembled set of thousands of protein targets with binding affinity data and searched for inhibitors of specific protein targets, SARS-CoV-2 Mpro and PLpro. We utilized a genetic algorithm approach for finding optimal candidates using the generation and scoring capabilities of the language model. Our generalizable models accelerate the identification of inhibitors for emerging therapeutic targets.","Language Models for the Prediction of SARS-CoV-2 Inhibitors The COVID-19 pandemic highlights the need for computational tools to automate and accelerate drug design for novel protein targets. We leverage deep learning language models to generate and score drug candidates based on predicted protein binding affinity. We pre-trained a deep learning language model (BERT) on [~]9.6 billion molecules and achieved peak performance of 603 petaflops in mixed precision. Our work reduces pre-training time from days to hours, compared to previous efforts with this architecture, while also increasing the dataset size by nearly an order of magnitude. For scoring, we fine-tuned the language model using an assembled set of thousands of protein targets with binding affinity data and searched for inhibitors of specific protein targets, SARS-CoV-2 Mpro and PLpro. We utilized a genetic algorithm approach for finding optimal candidates using the generation and scoring capabilities of the language model. Our generalizable models accelerate the identification of inhibitors for emerging therapeutic targets.",Bioinformatics
,CovidOutcome2: a tool for SARS-CoV2 mutation identification and for disease severity prediction,"Kalcsevszki, R.; Horvath, A.; Gyorffy, B.; Pongor, S.; Ligeti, B.",,,Bioinformatics,2022,2022-07-01 00:00:00 UTC,,,10.1101/2022.07.01.496571,"Our goal was to develop a platform, CovidOutcome2, capable of predicting disease severity from viral mutation profiles using automated machine learning (autoML) and deep neural networks applied to the available large corpus of sequenced SARS-CoV2 genomes. CovidOutcome2 accepts either user-submitted genomes or user defined mutation combinations as the input. The output is a predicted severity score plus a list of identified, annotated mutations and their functional effects in VCF format. The best model performance is a ROC-AUC 0.899 for the model including patient age and ROC-AUC 0.83 for the model without patient age.

AvailabilityCovidOutcome is freely available online under the URL https://www.covidoutcome.bio-ml.com as well as in a standalone version https://github.com/bio-apps/covid-outcome.","CovidOutcome2: a tool for SARS-CoV2 mutation identification and for disease severity prediction Our goal was to develop a platform, CovidOutcome2, capable of predicting disease severity from viral mutation profiles using automated machine learning (autoML) and deep neural networks applied to the available large corpus of sequenced SARS-CoV2 genomes. CovidOutcome2 accepts either user-submitted genomes or user defined mutation combinations as the input. The output is a predicted severity score plus a list of identified, annotated mutations and their functional effects in VCF format. The best model performance is a ROC-AUC 0.899 for the model including patient age and ROC-AUC 0.83 for the model without patient age.

AvailabilityCovidOutcome is freely available online under the URL https://www.covidoutcome.bio-ml.com as well as in a standalone version https://github.com/bio-apps/covid-outcome.",Bioinformatics
,Serotyping Salmonella Enteritidis and Typhimurium Using Whole Cell Matrix Assisted Laser Desorption Ionization - Time of Flight Mass Spectrometry (MALDI-TOF MS) through Multivariate Analysis and Artificial Intelligence,"Gao, A.; Fischer-Jenssen, J.; Slavic, D.; Rutherford, K.; Lippert, S.; Wilson, E.; Chen, S.; Leon-Velarde, C. G.; Martos, P.",,,Microbiology,2022,2022-07-02 00:00:00 UTC,,,10.1101/2022.07.01.498527,"Salmonella is one of the most frequent food-borne zoonoses, while Salmonella Typhimurium and Enteritidis are the major serovars of concern in public health. 113 Salmonella strains including 38 S. Enteritidis (SE), 38 S. Typhimurium (ST) and 37 strains of 32 other Salmonella serovars (SG) were tested in quadruplicate by whole-cell MALDI-TOF MS. Ions were studied and aligned from the raw data of mzXML files using Mass-Up (http://www.sing-group.org/mass-up), resulting in 1,741 aligned peaks. Datasets of ions (presence/absence) selected using a home-developed criteria on their specificity and detectability were subjected to multivariate analyses and artificial intelligence tools. Principle Component Analysis based on 88 selected ions separated SE, ST and SG without overlap on the first three principle components. The network and forest based deep learning tools were more sophisticated than the decision tree-based models. Neural Network carried out consistently well in training model, but no advantage was gained over the other models in validation results. HP (high performance) Neural, Support Vector Machine, HP Forest and Gradient Boasting were able to identify SE, ST and SG up to 100% correctly in both training and validation when 88 selected ions were used in analysis. Among them, HP Neural seemed to perform slightly better and relatively stable. Selection of serovar specific ions helps develop serotyping by increasing signal to noise. MALDI-TOF MS used with appropriate data processing strategies and classification tools could be applied to quickly alert when Salmonella serotypes of concern are suspected among routinely processed samples.","Serotyping Salmonella Enteritidis and Typhimurium Using Whole Cell Matrix Assisted Laser Desorption Ionization - Time of Flight Mass Spectrometry (MALDI-TOF MS) through Multivariate Analysis and Artificial Intelligence Salmonella is one of the most frequent food-borne zoonoses, while Salmonella Typhimurium and Enteritidis are the major serovars of concern in public health. 113 Salmonella strains including 38 S. Enteritidis (SE), 38 S. Typhimurium (ST) and 37 strains of 32 other Salmonella serovars (SG) were tested in quadruplicate by whole-cell MALDI-TOF MS. Ions were studied and aligned from the raw data of mzXML files using Mass-Up (http://www.sing-group.org/mass-up), resulting in 1,741 aligned peaks. Datasets of ions (presence/absence) selected using a home-developed criteria on their specificity and detectability were subjected to multivariate analyses and artificial intelligence tools. Principle Component Analysis based on 88 selected ions separated SE, ST and SG without overlap on the first three principle components. The network and forest based deep learning tools were more sophisticated than the decision tree-based models. Neural Network carried out consistently well in training model, but no advantage was gained over the other models in validation results. HP (high performance) Neural, Support Vector Machine, HP Forest and Gradient Boasting were able to identify SE, ST and SG up to 100% correctly in both training and validation when 88 selected ions were used in analysis. Among them, HP Neural seemed to perform slightly better and relatively stable. Selection of serovar specific ions helps develop serotyping by increasing signal to noise. MALDI-TOF MS used with appropriate data processing strategies and classification tools could be applied to quickly alert when Salmonella serotypes of concern are suspected among routinely processed samples.",Microbiology
,Ensemble of deep learning language models to support the creation of living systematic reviews for the COVID-19 literature,"Knafou, J.; Haas, Q.; Borissov, N.; Counotte, M. J.; Low, N.; Imeri, H.; Ipekci, A. M.; Buitrago-Garcia, D.; Heron, L.; Amini, P.; Teodoro, D.",,,Bioinformatics,2023,2023-05-24 00:00:00 UTC,,,10.1101/2023.01.18.524571,"BackgroundThe COVID-19 pandemic has led to an unprecedented amount of scientific publications, growing at a pace never seen before. Multiple living systematic reviews have been developed to assist professionals with up-to-date and trustworthy health information, but it is increasingly challenging for systematic reviewers to keep up with the evidence in electronic databases. We aimed to investigate deep learning-based machine learning algorithms to classify COVID-19 related publications to help scale-up the epidemiological curation process.

MethodsIn this retrospective study, five different pre-trained deep learning-based language models were fine-tuned on a dataset of 6,365 publications manually classified into two classes, three subclasses and 22 sub-subclasses relevant for epidemiological triage purposes. In a k-fold cross-validation setting, each standalone model was assessed on a classification task and compared against an ensemble, which takes the standalone model predictions as input and uses different strategies to infer the optimal article class. A ranking task was also considered, in which the model outputs a ranked list of sub-subclasses associated with the article.

ResultsThe ensemble model significantly outperformed the standalone classifiers, achieving a F1-score of 89.2 at the class level of the classification task. The difference between the standalone and ensemble models increases at the sub-subclass level, where the ensemble reaches a micro F1-score of 70% against 67% for the best performing standalone model. For the ranking task, the ensemble obtained the highest recall@3, with a performance of 89%. Using an unanimity voting rule, the ensemble can provide predictions with higher confidence on a subset of the data, achieving detection of original papers with a F1-score up to 97% on a subset of 80% of the collection instead of 93% on the whole dataset.

ConclusionThis study shows the potential of using deep learning language models to perform triage of COVID-19 references efficiently and support epidemiological curation and review. The ensemble consistently and significantly outperforms any standalone model. Fine-tuning the voting strategy thresholds is an interesting alternative to annotate a subset with higher predictive confidence.","Ensemble of deep learning language models to support the creation of living systematic reviews for the COVID-19 literature BackgroundThe COVID-19 pandemic has led to an unprecedented amount of scientific publications, growing at a pace never seen before. Multiple living systematic reviews have been developed to assist professionals with up-to-date and trustworthy health information, but it is increasingly challenging for systematic reviewers to keep up with the evidence in electronic databases. We aimed to investigate deep learning-based machine learning algorithms to classify COVID-19 related publications to help scale-up the epidemiological curation process.

MethodsIn this retrospective study, five different pre-trained deep learning-based language models were fine-tuned on a dataset of 6,365 publications manually classified into two classes, three subclasses and 22 sub-subclasses relevant for epidemiological triage purposes. In a k-fold cross-validation setting, each standalone model was assessed on a classification task and compared against an ensemble, which takes the standalone model predictions as input and uses different strategies to infer the optimal article class. A ranking task was also considered, in which the model outputs a ranked list of sub-subclasses associated with the article.

ResultsThe ensemble model significantly outperformed the standalone classifiers, achieving a F1-score of 89.2 at the class level of the classification task. The difference between the standalone and ensemble models increases at the sub-subclass level, where the ensemble reaches a micro F1-score of 70% against 67% for the best performing standalone model. For the ranking task, the ensemble obtained the highest recall@3, with a performance of 89%. Using an unanimity voting rule, the ensemble can provide predictions with higher confidence on a subset of the data, achieving detection of original papers with a F1-score up to 97% on a subset of 80% of the collection instead of 93% on the whole dataset.

ConclusionThis study shows the potential of using deep learning language models to perform triage of COVID-19 references efficiently and support epidemiological curation and review. The ensemble consistently and significantly outperforms any standalone model. Fine-tuning the voting strategy thresholds is an interesting alternative to annotate a subset with higher predictive confidence.",Bioinformatics
,Prediction of SARS-CoV-2 spike protein mutations using Sequence-to-Sequence and Transformer models,"Ahmadi, H.; Nikoofard, V.; Nikoofard, H.; Abdolvahab, R.; Nikoofard, N.; Esmaeilzadeh, M.",,,Bioinformatics,2023,2023-01-23 00:00:00 UTC,,,10.1101/2023.01.23.525130,"In the study of viral epidemics, having information about the structural evolution of the virus can be very helpful in controlling the disease and making vaccines. Various deep learning and natural language processing techniques (NLP) can be used to analyze genetic structure of viruses, namely to predict their mutations. In this paper, by using Sequence-to-Sequence (Seq2Seq) model with Long Short-Term Memory (LSTM) cell and Transformer model with the attention mechanism, we investigate the spike protein mutations of SARS-CoV-2 virus. We make time-series datasets of the spike protein sequences of this virus and generate upcoming spike protein sequences. We also determine the mutations of the generated spike protein sequences, by comparing these sequences with the Wuhan spike protein sequence. We train the models to make predictions in December 2021, February 2022, and October 2022. Furthermore, we find that some of our generated spike protein sequences have been reported in December 2021 and February 2022, which belong to Delta and Omicron variants. The results obtained in the present study could be useful for prediction of future mutations of SARS-CoV-2 and other viruses.","Prediction of SARS-CoV-2 spike protein mutations using Sequence-to-Sequence and Transformer models In the study of viral epidemics, having information about the structural evolution of the virus can be very helpful in controlling the disease and making vaccines. Various deep learning and natural language processing techniques (NLP) can be used to analyze genetic structure of viruses, namely to predict their mutations. In this paper, by using Sequence-to-Sequence (Seq2Seq) model with Long Short-Term Memory (LSTM) cell and Transformer model with the attention mechanism, we investigate the spike protein mutations of SARS-CoV-2 virus. We make time-series datasets of the spike protein sequences of this virus and generate upcoming spike protein sequences. We also determine the mutations of the generated spike protein sequences, by comparing these sequences with the Wuhan spike protein sequence. We train the models to make predictions in December 2021, February 2022, and October 2022. Furthermore, we find that some of our generated spike protein sequences have been reported in December 2021 and February 2022, which belong to Delta and Omicron variants. The results obtained in the present study could be useful for prediction of future mutations of SARS-CoV-2 and other viruses.",Bioinformatics
