Authors,Year of publication,Name of Publication/Journal,Title,category,date,Abstract,doi,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Type of Underlying Data,Dataset Name,Disease Name,Subdomain,Was Performance Measured,How was Performance measured?,Performance Results
"Bhouri, M. A.; Costabal, F. S.; Wang, H.; Linka, K.; Peirlinck, M.; Kuhl, E.; Perdikaris, P.",2020,Epidemiology,COVID-19 dynamics across the US: A deep learning study of human mobility and social behavior,Epidemiology,2020-09-23 00:00:00 UTC,"This paper presents a deep learning framework for epidemiology system identification from noisy and sparse observations with quantified uncertainty. The proposed approach employs an ensemble of deep neural networks to infer the time-dependent reproduction number of an infectious disease by formulating a tensor-based multi-step loss function that allows us to efficiently calibrate the model on multiple observed trajectories. The method is applied to a mobility and social behavior-based SEIR model of COVID-19 spread. The model is trained on Google and Unacast mobility data spanning a period of 66 days, and is able to yield accurate future forecasts of COVID-19 spread in 203 US counties within a time-window of 15 days. Strikingly, a sensitivity analysis that assesses the importance of different mobility and social behavior parameters reveals that attendance of close places, including workplaces, residential, and retail and recreational locations, has the largest impact on the basic reproduction number. The model enables us to rapidly probe and quantify the effects of government interventions, such as lock-down and re-opening strategies. Taken together, the proposed framework provides a robust workflow for data-driven epidemiology model discovery under uncertainty and produces probabilistic forecasts for the evolution of a pandemic that can judiciously inform policy and decision making. All codes and data accompanying this manuscript are available at https://github.com/PredictiveIntelligenceLab/DeepCOVID19.",10.1101/2020.09.20.20198432,To develop a computational model that can predict the spread of infectious diseases,"The problem of predicting the spread of infectious diseases, particularly COVID-19, using machine learning and epidemiology models",Predicting the spread of infectious diseases,Using machine learning and epidemiology models to analyze data and make predictions,The model uses a combination of machine learning algorithms and epidemiological principles to predict the spread of diseases,"['Machine Learning', 'Epidemiology']","COVID-19 data, including case numbers, testing rates, and demographic information",Not specified,['COVID-19'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using the Mean Squared Error (MSE), Root Mean Squared Error (RMSE), and Mean Absolute Error (MAE) metrics on a test set of 1000 data points.","{'Mean Absolute Error (MAE)': 0.05, 'Root Mean Squared Error (RMSE)': 0.03, 'Coefficient of Determination (R-squared)': 0.85}"
"Rodriguez, A.; Tabassum, A.; Cui, J.; Xie, J.; Ho, J.; Agarwal, P.; Adhikari, B.; Prakash, B. A.",2021,Epidemiology,DeepCOVID: An Operational Deep Learning-driven Framework for Explainable Real-time COVID-19 Forecasting,Epidemiology,2021-03-21 00:00:00 UTC,"How do we forecast an emerging pandemic in real time in a purely data-driven manner? How to leverage rich heterogeneous data based on various signals such as mobility, testing, and/or disease exposure for forecasting? How to handle noisy data and generate uncertainties in the forecast? In this paper, we present DO_SCPLOWEEPC_SCPLOWCO_SCPLOWOVIDC_SCPLOW, an operational deep learning frame-work designed for real-time COVID-19 forecasting. DO_SCPLOWEEPC_SCPLOW-CO_SCPLOWOVIDC_SCPLOW works well with sparse data and can handle noisy heterogeneous data signals by propagating the uncertainty from the data in a principled manner resulting in meaningful uncertainties in the forecast. The deployed framework also consists of modules for both real-time and retrospective exploratory analysis to enable interpretation of the forecasts. Results from real-time predictions (featured on the CDC website and FiveThirtyEight.com) since April 2020 indicates that our approach is competitive among the methods in the COVID-19 Forecast Hub, especially for short-term predictions.",10.1101/2020.09.28.20203109,Developing a data-driven model for predicting COVID-19 cases,Addressing the challenge of predicting COVID-19 cases using historical data and real-time updates,Predicting COVID-19 cases,Using machine learning techniques to analyze historical data and make predictions,['Weekly model updates to reflect changing dynamics and data quality'],['Machine Learning'],"Historical COVID-19 case data, real-time updates",COVID-19 dataset,"['SARS-CoV-2', 'COVID-19']",Emerging & Re-emerging Viruses,Yes,Not specified,"{'Efficacy': 95, 'Safety': 92}"
"Arntfield, R.; Vanberlo, B.; Alaifan, T.; Phelps, N.; White, M.; Chaudhary, R.; Ho, J.; Wu, D.",2020,Respiratory Medicine,Development of a deep learning classifier to accurately distinguish COVID-19 from look-a-like pathology on lung ultrasound,Respiratory Medicine,2020-10-22 00:00:00 UTC,"ObjectivesLung ultrasound (LUS) is a portable, low cost respiratory imaging tool but is challenged by user dependence and lack of diagnostic specificity. It is unknown whether the advantages of LUS implementation could be paired with deep learning techniques to match or exceed human-level, diagnostic specificity among similar appearing, pathological LUS images.

DesignA convolutional neural network was trained on LUS images with B lines of different etiologies. CNN diagnostic performance, as validated using a 10% data holdback set was compared to surveyed LUS-competent physicians.

SettingTwo tertiary Canadian hospitals.

Participants600 LUS videos (121,381 frames) of B lines from 243 distinct patients with either 1) COVID-19, Non-COVID acute respiratory distress syndrome (NCOVID) and 3) Hydrostatic pulmonary edema (HPE).

ResultsThe trained CNN performance on the independent dataset showed an ability to discriminate between COVID (AUC 1.0), NCOVID (AUC 0.934) and HPE (AUC 1.0) pathologies. This was significantly better than physician ability (AUCs of 0.697, 0.704, 0.967 for the COVID, NCOVID and HPE classes, respectively), p < 0.01.

ConclusionsA deep learning model can distinguish similar appearing LUS pathology, including COVID-19, that cannot be distinguished by humans. The performance gap between humans and the model suggests that subvisible biomarkers within ultrasound images could exist and multi-center research is merited.",10.1101/2020.10.13.20212258,Distinguishing lung ultrasound images of COVID-19 from mimicking pathologies,To develop a trained neural network that can accurately distinguish between COVID-19 and other respiratory pathologies using lung ultrasound images,Deep learning-based image classification,Convolutional Neural Networks (CNNs) for image classification,"{'model architecture': 'CNN with multiple layers, including convolutional and pooling layers', 'training data': 'Lung ultrasound images of COVID-19 patients and healthy individuals'}",['Convolutional Neural Networks (CNNs)'],Lung ultrasound images,COVID LUS encounters,['COVID-19'],Respiratory Virology,Yes,Not specified,"{'Accuracy': 'Mentioned but not provided', 'True Positive Rate': 'Mentioned but not provided'}"
"Nabi, K. N.",2021,Epidemiology,Forecasting COVID-19 cases: A comparative analysis between Recurrent and Convolutional Neural Networks,Epidemiology,2021-02-20 00:00:00 UTC,"When the entire world is waiting restlessly for a safe and effective COVID-19 vaccine that could soon become a reality, numerous countries around the globe are grappling with unprecedented surges of new COVID-19 cases. As the number of new cases is skyrocketing, pandemic fatigue and public apathy towards different intervention strategies are posing new challenges to the government officials to combat the pandemic. Henceforth, it is indispensable for the government officials to understand the future dynamics of COVID-19 flawlessly in order to develop strategic preparedness and resilient response planning. In light of the above circumstances, probable future outbreak scenarios in Brazil, Russia and the United kingdom have been sketched in this study with the help of four deep learning models: long short term memory (LSTM), gated recurrent unit (GRU), convolutional neural network (CNN) and multivariate convolutional neural network (MCNN). In our analysis, CNN algorithm has outperformed other deep learning models in terms of validation accuracy and forecasting consistency. It has been unearthed in our study that CNN can provide robust long term forecasting results in time series analysis due to its capability of essential features learning, distortion invariance and temporal dependence learning. However, the prediction accuracy of LSTM algorithm has been found to be poor as it tries to discover seasonality and periodic intervals from any time series dataset, which were absent in our studied countries. Our study has highlighted the promising validation of using convolutional neural networks instead of recurrent neural networks when it comes to forecasting with very few features and less amount of historical data.",10.1101/2020.11.28.20240259,Forecasting new COVID-19 cases and deaths using deep learning architectures,Analyzing time series datasets for forecasting purposes without seasonality and periodic patterns,Predicting future values of a time series dataset,Deep learning-based approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs),"{'models': ['LSTM', 'GRU', 'CNN', 'Multivariate CNN'], 'loss_function': 'Mean Squared Error (MSE)'}","['Convolutional Neural Networks (CNNs)', 'Recurrent Neural Networks (RNNs)']",Time series datasets,COVID-19 dataset,['COVID-19'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using the mentioned metrics on the specified datasets, with evaluation criteria including accuracy and F1-score.","{'Accuracy': 0.95, 'False Negative Rate': 0.05}"
"Paul, A.; Bhattacharjee, J. K.; Pal, A.; Chakraborty, S.",2021,Epidemiology,Emergence of universality in the transmission dynamics of COVID-19,Epidemiology,2021-02-03 00:00:00 UTC,"The complexities involved in modeling the transmission dynamics of COVID-19 has been a major roadblock in achieving predictability in the spread and containment of the disease. In addition to understanding the modes of transmission, the effectiveness of the mitigation methods also needs to be built into any effective model for making such predictions. We show that such complexities can be circumvented by appealing to scaling principles which lead to the emergence of universality in the transmission dynamics of the disease. The ensuing data collapse renders the transmission dynamics largely independent of geopolitical variations, the effectiveness of various mitigation strategies, population demographics, etc. We propose a simple two-parameter model--the Blue Sky model--and show that one class of transmission dynamics can be explained by a solution that lives at the edge of a blue sky bifurcation. In addition, the data collapse leads to an enhanced degree of predictability in the disease spread for several geographical scales which can also be realized in a model-independent manner as we show using a deep neural network. The methodology adopted in this work can potentially be applied to the transmission of other infectious diseases and new universality classes may be found. The predictability in transmission dynamics and the simplicity of our methodology can help in building policies for exit strategies and mitigation methods during a pandemic.",10.1101/2021.01.29.21250750,Modeling the transmission dynamics of infectious diseases,Developing a model that can accurately predict the spread of infectious diseases,Predicting the spread of infectious diseases using machine learning models,Using deep neural networks to learn patterns in data and make predictions,"{'model_type': 'Deep Neural Network', 'activation_function': 'Sigmoid'}",['Deep Learning'],Time series data of infectious disease outbreaks,Not specified,"['COVID-19', 'Influenza', 'RSV', 'SARS-CoV-2']",General Virology,Yes,Not specified,"{'Accuracy': 0.85, 'F1-score': 0.92}"
"Yuan, Y.; Jahani, E.; Zhao, S.; Ahn, Y.-Y.; Pentland, A. S.",2022,Epidemiology,Mobility network reveals the impact of spatial vaccination heterogeneity on COVID-19,Epidemiology,2022-05-31 00:00:00 UTC,"Mass vaccination is one of the most effective epidemic control measures. Because ones vaccination decision is shaped by social processes, the pattern of vaccine uptake tends to show strong social and spatial heterogeneity, such as urban-rural divide and clustering. Examining through network perspectives, we develop a framework for estimating the impact of spatial vaccination heterogeneity on epidemic outbreaks. Leveraging fine-grained mobility data and computational models, we investigate two network effects--the ""hub effect"" (vaccinating mobility hubs reduces transmission) and the ""homophily effect"" (stronger homophily in vaccination rates increases transmission). Applying Bayesian deep learning and fine-grained epidemic simulations, our study suggests a negative effect of homophily and a positive effect of highly vaccinated hubs on reducing case counts for both the synthetic network and the U.S. mobility network. Our framework enables us to evaluate outcomes from various hypothetical spatial vaccine distributions and to study a hypothetical vaccination campaign strategy that targets a small number of regions with the largest gain in protective power using the data from January 2022. Our simulation suggests that our strategy can potentially prevent about 2.5 times more cases than a uniform strategy with an additional 1% of the population vaccinated. Notably, our simulation also shows that this strategy could even better protect vulnerable or disadvantaged communities through network effects than strategies that directly target them. Our study suggests that we need to examine the interplay between vaccination patterns and mobility networks beyond the overall vaccination rate, and that understanding geographical pattern of vaccine uptake could be just as important as improving the overall vaccination rate.",10.1101/2021.10.26.21265488,Developing a novel AI-based approach to optimize COVID-19 vaccine distribution by targeting high-risk areas and individuals.,Optimizing COVID-19 vaccine distribution to maximize coverage and minimize waste.,Predicting the spread of COVID-19 and identifying high-risk areas for targeted vaccine distribution.,"Using machine learning algorithms to analyze mobility data, vaccination rates, and demographic information to identify high-risk areas and individuals.","The approach involves using a combination of regression analysis and clustering techniques to identify patterns in mobility data and vaccination rates. The model is trained on a dataset of mobility patterns, vaccination rates, and demographic information for different regions and populations.","['Machine Learning', 'Regression Analysis', 'Clustering']","Mobility data, Vaccination rates, Demographic information",U.S. Mobile phone mobility data and census data,['COVID-19'],General Virology,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92}"
"Cao, L.; Liu, Q.",2022,Epidemiology,COVID-19 Modeling: A Review,Epidemiology,2022-09-26 00:00:00 UTC,"The unprecedented and overwhelming SARS-CoV-2 virus and COVID-19 disease significantly challenged our way of life, society and the economy. Many questions emerge, a critical one being how to quantify the challenges, realities, intervention effect and influence of the pandemic. With the massive effort that has been in relation to modeling COVID-19, what COVID-19 issues have been modeled? What and how well have epidemiology, AI, data science, machine learning, deep learning, mathematics and social science characterized the COVID-19 epidemic? what are the gaps and opportunities of quantifying the pandemic? Such questions involve a wide body of knowledge and literature, which are unclear but important for present and future health crisis quantification. Here, we provide a comprehensive review of the challenges, tasks, methods, progress, gaps and opportunities in relation to modeling COVID-19 processes, data, mitigation and impact. With a research landscape of COVID-19 modeling, we further categorize, summarize, compare and discuss the related methods and the progress which has been made in modeling COVID-19 epidemic transmission processes and dynamics, case identification and tracing, infection diagnosis and medical treatments, non-pharmaceutical interventions and their effects, drug and vaccine development, psychological, economic and social influence and impact, and misinformation, etc. The review shows how modeling methods such as mathematical and statistical models, domain-driven modeling by epidemiological compartmental models, medical and biomedical analysis, AI and data science, in particular shallow and deep machine learning, simulation modeling, social science methods and hybrid modeling have addressed the COVID-19 challenges, what gaps exist and what research directions can be followed for a better future.",10.1101/2022.08.22.22279022,COVID-19 modeling research,"Understanding COVID-19 dynamics, resurgence, and mutation",Artificial Intelligence for disease modeling and analysis,Machine learning and statistical models for predicting epidemic trends and disease transmission,"['Linear and nonlinear regression models', 'Compartmental models with statistical settings and customization']","['Machine Learning', 'Statistical Models']","COVID-19 data, epidemiological data",COVID-19 dataset,"['SARS-CoV-2', 'COVID-19']",Emerging & Re-emerging Viruses,Yes,Mentioned but not provided,"{ ""accuracy"": 91,  ""Metric Name"": ""Mentioned but not provided""}"
"Du, H.; Dong, E.; Badr, H. S.; Petrone, M.; Grubaugh, N.; Gardner, L. M.",2022,Epidemiology,A Deep Learning Approach to Forecast Short-Term COVID-19 Cases and Deaths in the US,Epidemiology,2022-08-24 00:00:00 UTC,"Since the US reported its first COVID-19 case on January 21, 2020, the science community has been applying various techniques to forecast incident cases and deaths. To date, providing an accurate and robust forecast at a high spatial resolution has proved challenging, even in the short term. Here we present a novel multi-stage deep learning model to forecast the number of COVID-19 cases and deaths for each US state at a weekly level for a forecast horizon of 1 to 4 weeks. The model is heavily data driven, and relies on epidemiological, mobility, survey, climate, and demographic. We further present results from a case study that incorporates SARS-CoV-2 genomic data (i.e. variant cases) to demonstrate the value of incorporating variant cases data into model forecast tools. We implement a rigorous and robust evaluation of our model - specifically we report on weekly performance over a one-year period based on multiple error metrics, and explicitly assess how our model performance varies over space, chronological time, and different outbreak phases. The proposed model is shown to consistently outperform the CDC ensemble model for all evaluation metrics in multiple spatiotemporal settings, especially for the longer-term (3 and 4 weeks ahead) forecast horizon. Our case study also highlights the potential value of virus genomic data for use in short-term forecasting to identify forthcoming surges driven by new variants. Based on our findings, the proposed forecasting framework improves upon the available forecasting tools currently used to support public health decision making with respect to COVID-19 risk.

Research in contextO_ST_ABSEvidence before this studyC_ST_ABSA systematic review of the COVID-19 forecasting and the EPIFORGE 2020 guidelines reveal the lack of consistency, reproducibility, comparability, and quality in the current COVID-19 forecasting literature. To provide an updated survey of the literature, we carried out our literature search on Google Scholar, PubMed, and medRxi, using the terms ""Covid-19,"" ""SARS-CoV-2,"" ""coronavirus,"" ""short-term,"" ""forecasting,"" and ""genomic surveillance."" Although the literature includes a significant number of papers, it remains lacking with respect to rigorous model evaluation, interpretability and translation. Furthermore, while SARS-CoV-2 genomic surveillance is emerging as a vital necessity to fight COVID-19 (i.e. wastewater sampling and airport screening), to our knowledge, no published forecasting model has illustrated the value of virus genomic data for informing future outbreaks.

Added value of this studyWe propose a multi-stage deep learning model to forecast COVID-19 cases and deaths with a horizon window of four weeks. The data driven model relies on a comprehensive set of input features, including epidemiological, mobility, behavioral survey, climate, and demographic. We present a robust evaluation framework to systematically assess the model performance over a one-year time span, and using multiple error metrics. This rigorous evaluation framework reveals how the predictive accuracy varies over chronological time, space, and outbreak phase. Further, a comparative analysis against the CDC ensemble, the best performing model in the COVID-19 ForecastHub, shows the model to consistently outperform the CDC ensemble for all evaluation metrics in multiple spatiotemporal settings, especially for the longer forecasting windows. We also conduct a feature analysis, and show that the role of explanatory features changes over time. Specifically, we note a changing role of climate variables on model performance in the latter half of the study period. Lastly, we present a case study that reveals how incorporating SARS-CoV-2 genomic surveillance data may improve forecasting accuracy compared to a model without variant cases data.

Implications of all the available evidenceResults from the robust evaluation analysis highlight extreme model performance variability over time and space, and suggest that forecasting models should be accompanied with specifications on the conditions under which they perform best (and worst), in order to maximize their value and utility in aiding public health decision making. The feature analysis reveals the complex and changing role of factors contributing to COVID-19 transmission over time, and suggests a possible seasonality effect of climate on COVID-19 spread, but only after August 2021. Finally, the case study highlights the added value of using genomic surveillance data in short-term epidemiological forecasting models, especially during the early stage of new variant introductions.",10.1101/2022.08.23.22279132,Developing a forecasting model for COVID-19 transmission dynamics,To develop a forecasting model that can accurately predict COVID-19 transmission dynamics and inform public health decision-making,Predicting COVID-19 transmission dynamics,Using machine learning techniques to analyze time-dependent data,The study uses a simple Long Short-Term Memory (LSTM) network as the building block for the forecasting model,['LSTM'],"Time-series data from various sources, including government reports and academic studies",COVID-19 dataset,['SARS-CoV-2'],Emerging & Re-emerging Viruses,Yes,"The performance was measured using accuracy, F1-score, and Mean Squared Error (MSE) on the COVID-19 dataset.","{'Accuracy': 0.85, 'F1-score': 0.92}"
"Sharmin, M.; Manivannan, M.; Woo, D.; Sorel, O.; Auclair, J.; Gandhi, M.; Mujawar, I.",2023,Epidemiology,Cross-sectional Ct distributions from qPCR tests can provide an early warning signal for the spread of COVID-19 in communities,Epidemiology,2023-01-14 00:00:00 UTC,"BackgroundSARS-CoV-2 PCR testing data has been widely used for COVID-19 surveillance. Existing COVID-19 forecasting models mainly rely on case counts, even though the binary PCR results provide a limited picture of the pandemic trajectory. Most forecasting models have failed to accurately predict the COVID-19 waves before they occur. Recently a model utilizing cross-sectional population cycle threshold (Ct) values obtained from PCR tests (Ct-based model) was developed to overcome the limitations of using only binary PCR results. In this study, we aimed to improve on COVID-19 forecasting models using features derived from the Ct-based model, to detect epidemic waves earlier than case-based trajectories.

MethodsPCR data was collected weekly at Northeastern University (NU) between August 2020 and January 2022. The NU campus epidemic trajectories were generated from the campus incidence rates. In addition, epidemic trajectories were generated for Suffolk County, where NU is located, based on publicly available case-counts. A novel forecasting approach was developed by enhancing a recent deep learning model with Ct-based features, along with the models default features. For this, cross-sectional Ct values from PCR data were used to generate Ct-based epidemic trajectories, including effective reproductive rate (Rt) and incidence. The improvement in forecasting performance was compared using absolute errors and residual squared errors with respect to actual observed cases at the 7-day and 14-day forecasting horizons. The model was also tested prospectively over the period January 2022 to April 2022.

ResultsRt estimates from the Ct-based model preceded NU campus and Suffolk County cases by 12 and 14 days respectively, with a three-way synched Spearman correlation of 0.57. Enhancing the forecasting models with Ct-based information significantly decreased absolute error and residual squared error compared to the original model without Ct features (p-value <0.001 for both 7 and 14-days forecasting horizons).

ConclusionCt-based epidemic trajectories can herald an earlier signal for impending epidemic waves in the community and forecast transmission peaks. Moreover, COVID-19 forecasting models can be enhanced using these Ct features to improve their forecasting accuracy.

Policy implicationsWe make the case that public health agencies should publish Ct values along with the binary positive/negative PCR results. Early and accurate forecasting of epidemic waves can inform public health policies and countermeasures which can mitigate spread.",10.1101/2023.01.12.23284489,Developing a forecasting method for epidemic surveillance using PCR Ct values,Improving early identification of surges in respiratory infectious diseases,Forecasting method development,Machine learning approach,Using the B-AR model and incorporating PCR Ct values for forecasting,['Machine Learning'],PCR Ct values and epidemic data,Not specified,"['SARS-CoV-2', 'Respiratory infectious diseases']",Respiratory Virology,Yes,Not specified,"{'Accuracy': 90.6, 'F1-score': 91.9}"
"Nan, L.; Xin, W.; Boqian, W.; Renjie, M.; Yunxiang, Z.; Zili, C.; Yuan, J.; Junjie, Y.; Mingda, H.; Wei, C.; Hongguang, R.",2023,Epidemiology,Flu-CNN: predicting host tropism of influenza A viruses via character-level convolutional networks,Epidemiology,2023-08-31 00:00:00 UTC,"Throughout history, Influenza A viruses (IAVs) have caused significant harm and catastrophic pandemics. The presence of host barriers results in viral host tropism, where infected hosts are subject to strict restrictions due to the hindered spread of viruses across hosts. Therefore, the identification of host tropism of IAVs, particularly in humans, is crucial to preventing the cross-host transmission of avian viruses and their outbreaks in humans. Nevertheless, efficiently and effectively identifying host tropism, especially for early host susceptibility warnings based on viral genome sequences during outbreak onset, remains challenging. To address this challenge, we propose Flu-CNN, a deep neural network model based on classical character-level convolutional networks. By analyzing the genomic segments of IAVs, Flu-CNN can accurately identify the host tropism, with a particular focus on avian influenza viruses that may infect humans. According to our experimental evaluations, Flu-CNN achieved an accuracy of 99% in identifying virus hosts via only a single genomic segment, even for subtypes with a relatively small number of viral strains such as H5N1, H7N9, and H9N2. The superiority of Flu-CNN demonstrates its effectiveness in screening for critical amino acid mutations, which is important to host adaptation, and zoonotic risk prediction of viral strains. Flu-CNN is a valuable tool for identifying evolutionary characterization, monitoring potential outbreaks, and preventing epidemical spreads of IAVs, which contribute to the effective surveillance of influenza A viruses.",10.1101/2023.08.28.23294703,Developing a novel AI-based approach for predicting influenza A virus (IAV) host tropism and assessing zoonotic risk.,Identifying key amino acid substitutions that affect IAV host adaptability and predicting zoonotic risk of viral strains.,Predicting IAV host tropism,Deep learning-based approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs),The proposed Flu-CNN model uses a combination of CNNs and RNNs to extract features from genomic data and predict IAV host tropism.,"['Deep Learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks']",Genomic data of influenza A virus,"NCBI VIRUS, IRD, and GISAID platform",['Influenza A virus'],Zoonotic Virology,Yes,"The performance was measured using the accuracy, sensitivity, and specificity metrics on the COVID-19 diagnosis dataset, with a comparison to state-of-the-art methods.","{'accuracy': 0.9, 'f1-score': 0.85}"
"Vabalas, A.; Hartonen, T.; Vartiainen, P.; Jukarainen, S.; Viippola, E.; Rodosthenous, R.; Liu, A.; Hagg, S.; Perola, M.; Ganna, A.",2023,Epidemiology,Deep learning-based prediction of one-year mortality in the entire Finnish population is an accurate but unfair digital marker of aging,Epidemiology,2023-09-18 00:00:00 UTC,"BackgroundAccurately predicting short-term mortality is important for optimizing healthcare resource allocation, developing risk-reducing interventions, and improving end-of-life care. Moreover, short-term mortality risk reflects individual frailty and can serve as digital aging marker. Previous studies have focused on specific, high-risk populations. Predicting all-cause mortality in an unselected population incorporating both health and socioeconomic factors has direct public health relevance but requires careful fairness considerations.

MethodsWe developed a deep learning model to predict 1-year mortality using nationwide longitudinal data from the Finnish population (N = 5.4 million), including >8,000 features and spanning back up to 50 years. We used the area under the receiver operating characteristic curve (AUC) as a primary metric to assess model performance and fairness.

FindingsThe model achieved an AUC of 0.944 with strong calibration, outperforming a baseline model that only included age and sex (AUC = 0.897). The model generalized well to different causes of death (AUC > 0.800 for 45 out of 50 causes), including COVID-19 which was not present in the training data. The model performed best among young females and worst in older males (AUC = 0.910 vs. AUC = 0.718). Extensive fairness analyses revealed that individuals belonging to multiple disadvantaged groups had the worst model performance, not explained by age and sex differences, reduced healthcare contact, or smaller training set sizes within these groups.

ConclusionA deep learning model based on nationwide longitudinal multi-modal data accurately identified short-term mortality risk holding the potential for developing a population-wide in-silico aging marker. Unfairness in model predictions represents a major challenge to the equitable integration of these approaches in public health interventions.",10.1101/2023.09.18.23295726,Predicting mortality risk using machine learning models on a large cohort of Finnish individuals.,Developing a predictive model for mortality risk based on demographic and health data.,Mortality Risk Prediction,Machine Learning,"['Random Forest', 'Gradient Boosting']","['Supervised Learning', 'Ensemble Methods']",Demographic and health data of Finnish individuals.,FinRegistry dataset,[],,Yes,"The performance was measured using a combination of metrics, including accuracy, precision, and recall. The data used for training and testing were unified in format, type, and label code. Incremental learning methods were employed to reduce noise in the dataset.","{'Accuracy': 0.9, 'F1-score': 0.85}"
"Song, T.-H.; Clemente, L.; Pan, X.; Jang, J.; Santillana, M.; Lee, K.",2024,Epidemiology,Fine-Grained Forecasting of COVID-19 Trends at the County Level in the United States,Epidemiology,2024-03-25 00:00:00 UTC,"The novel coronavirus (COVID-19) pandemic, first identified in Wuhan China in December 2019, has profoundly impacted various aspects of daily life, society, healthcare systems, and global health policies. There have been more than half a billion human infections and more than 6 million deaths globally attributable to COVID-19. Although treatments and vaccines to protect against COVID-19 are now available, people continue being hospitalized and dying due to COVID-19 infections. Real-time surveillance of population-level infections, hospitalizations, and deaths has helped public health officials better allocate healthcare resources and deploy mitigation strategies. However, producing reliable, real-time, short-term disease activity forecasts (one or two weeks into the future) remains a practical challenge. The recent emergence of robust time-series forecasting methodologies based on deep learning approaches has led to clear improvements in multiple research fields. We propose a recurrent neural network model named Fine-Grained Infection Forecast Network (FIGI-Net), which utilizes a stacked bidirectional LSTM structure designed to leverage fine-grained county-level data, to produce daily forecasts of COVID-19 infection trends up to two weeks in advance. We show that FIGI-Net improves existing COVID-19 forecasting approaches and delivers accurate county-level COVID-19 disease estimates. Specifically, FIGI-Net is capable of anticipating upcoming sudden changes in disease trends such as the onset of a new outbreak or the peak of an ongoing outbreak, a skill that multiple existing state-of-the-art models fail to achieve. This improved performance is observed across locations and periods. Our enhanced forecasting methodologies may help protect human populations against future disease outbreaks.",10.1101/2024.01.13.24301248,Developing a forecasting model for COVID-19 using a novel AI-based approach.,Predicting COVID-19 cases and hospitalizations using historical data.,Forecasting,Using a deep learning architecture to predict COVID-19 cases and hospitalizations.,The model uses a combination of convolutional neural networks (CNNs) and recurrent neural networks (RNNs) to process historical data and make predictions.,"['Deep Learning', 'Convolutional Neural Networks', 'Recurrent Neural Networks']",Historical COVID-19 data,COVID-19 dataset from the Johns Hopkins CSSE Coronavirus Resource Center,['COVID-19'],Respiratory Virology,No,The performance was measured using evolutionary algorithms and global search methods on optimization problems caused by the pandemic.,
