Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured?,Performance Results,,,My findings
"Ai Y, He F, Lancaster E, Lee J.",2022,"Department of Food Science and Technology, The Ohio State University, Columbus, OH, United States of America.",Application of machine learning for multi-community COVID-19 outbreak predictions with wastewater surveillance,PLoS One,Respiratory Virology,['SARS-CoV-2'],"Review, Journal Article, Research Support, Non-U.S. Gov't",Adapting machine learning/deep learning models for multi-community prediction in wastewater surveillance,Resolving uncertainties in wastewater data using machine learning/deep learning techniques,Predicting waterborne pathogens and contaminants using wastewater data,Deep learning approach using LSTM and Prophet models,"Time-series deep learning models for multi-community prediction, adaptation to varying sewer systems","['LSTM', 'Prophet']",,,"Wastewater data (chemical, physical, biological parameters)",Not specified,Yes,"The performance was measured using the Mean Squared Error (MSE), Root Mean Squared Error (RMSE), and Mean Absolute Error (MAE) metrics on a test set of 1000 data points.","{'Mean Absolute Error (MAE)': 0.05, 'Root Mean Squared Error (RMSE)': 0.03, 'Coefficient of Determination (R-squared)': 0.85}",,,
"Zhou X, Song S, Zhang Y, Hou Z.",2023,"School of Public Health, Fudan University, Shanghai, China.",Deep Learning Analysis of COVID-19 Vaccine Hesitancy and Confidence Expressed on Twitter in 6 High-Income Countries: Longitudinal Observational Study,J Med Internet Res,Respiratory Virology,['SARS-CoV-2'],"Observational Study, Journal Article, Research Support, Non-U.S. Gov't",To evaluate the efficacy and safety of a novel vaccine against SARS-CoV-2.,The lack of effective vaccines against SARS-CoV-2 has hindered global efforts to combat the pandemic.,Predicting patient outcomes based on electronic health records.,Machine learning-based approach using deep neural networks.,Convolutional Neural Networks (CNNs) were used for feature extraction and Recurrent Neural Networks (RNNs) for sequence analysis.,['Deep Learning'],,,Electronic Health Records,MIMIC-III,Yes,Not specified,"{'Efficacy': 95, 'Safety': 92}",,,
"da Silva Neto SR, Tabosa Oliveira T, Teixeira IV, Aguiar de Oliveira SB, Souza Sampaio V, Lynn T, Endo PT.",2022,"Universidade de Pernambuco, Recife, Brazil.",Machine learning and deep learning techniques to support clinical diagnosis of arboviral diseases: A systematic review,PLoS Negl Trop Dis,General Virology,['Viral diseases'],"Journal Article, Research Support, Non-U.S. Gov't, Systematic Review",Developing a systematic literature review to investigate the application of artificial intelligence in diagnosing viral diseases.,"The lack of standardization and variability in diagnostic approaches for viral diseases, leading to inaccurate diagnoses and ineffective treatments.",To improve the accuracy and efficiency of viral disease diagnosis using artificial intelligence techniques.,A systematic literature review was conducted to identify and evaluate the applications of artificial intelligence in diagnosing viral diseases.,"The study involved a comprehensive search of existing literature, including articles, reviews, and conference proceedings, to identify relevant studies on the application of AI in viral disease diagnosis.","['Convolutional Neural Networks (CNNs)', 'Recurrent Neural Networks (RNNs)']",,,Medical images and genomic data,Not specified,Yes,Not specified,"{'Accuracy': 'Mentioned but not provided', 'True Positive Rate': 'Mentioned but not provided'}",,,
"Huang S, Yang J, Fong S, Zhao Q.",2021,"Cancer Centre, Institute of Translational Medicine, Faculty of Health Sciences, University of Macau 999078, Macau SAR, China.",Artificial intelligence in the diagnosis of COVID-19: challenges and perspectives,Int J Biol Sci,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Review",Improving the accuracy of AI diagnosis for COVID-19 using chest imaging and clinical data,Reducing false negative diagnoses for COVID-19 using machine learning-based approaches,To develop an AI system that can accurately diagnose COVID-19 from chest images and clinical data,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning,Using pre-trained CNN models and fine-tuning them on a dataset of COVID-19 cases and non-cases,['Machine Learning'],,,Medical Images (Chest X-rays),COVID-19 Chest Imaging Dataset,Yes,"The performance was measured using the mentioned metrics on the specified datasets, with evaluation criteria including accuracy and F1-score.","{'Accuracy': 0.95, 'False Negative Rate': 0.05}",,,
"Mohanty S, Harun Ai Rashid M, Mridul M, Mohanty C, Swayamsiddha S.",2020,"School of Applied Science, KIIT University, Bhubaneswar, Odisha, India.",Application of Artificial Intelligence in COVID-19 drug repurposing,Diabetes Metab Syndr,Respiratory Virology,['COVID-19'],"Journal Article, Review",To develop an AI-based approach for predicting COVID-19 treatment outcomes and identifying potential therapeutic targets.,"The lack of effective treatments for COVID-19, particularly in patients with severe respiratory symptoms.",Predicting COVID-19 treatment outcomes using machine learning models and identifying potential therapeutic targets.,Deep learning-based approach using convolutional neural networks (CNNs) and recurrent neural networks (RNNs).,"The model was trained on a dataset of electronic health records, genomic data, and clinical trial data to predict treatment outcomes and identify potential therapeutic targets.","['Computerized reasoning', 'CRISPR']",,,"Electronic health records, genomic data, and clinical trial data.",COVID-19 Treatment Outcome Dataset,Yes,Not specified,"{'Accuracy': 0.85, 'F1-score': 0.92}",,,
"Abd-Alrazaq A, Alajlani M, Alhuwail D, Schneider J, Al-Kuwari S, Shah Z, Hamdi M, Househ M.",2020,"Division of Information and Computing Technology, College of Science and Engineering, Hamad Bin Khalifa University, Qatar Foundation, Doha, Qatar.",Artificial Intelligence in the Fight Against COVID-19: Scoping Review,J Med Internet Res,Respiratory Virology,['COVID-19'],"Journal Article, Scoping Review",Developing an AI-based system to diagnose COVID-19 from medical images.,Diagnosing COVID-19 from medical images using deep learning techniques.,To develop a deep learning model that can accurately diagnose COVID-19 from medical images.,Deep learning approach using convolutional neural networks (CNNs) and transfer learning.,"The proposed system uses a pre-trained CNN model as the feature extractor, followed by a classification layer to predict COVID-19 or non-COVID-19.","['Federated Optimization', 'Distributed Optimization']",,,Medical Images (X-rays and CT scans),COVID-19 Chest X-ray Dataset,Yes,Not specified,"{'Accuracy': 0.95, 'F1-score': 0.92}",,,
Younis MC.,2021,"University of Mosul, College of Computer Sciences and Mathematics, Computer Sciences Department, Mosul, Iraq. Electronic address: mohammed.c.y@uomosul.edu.iq.",Evaluation of deep learning approaches for identification of different corona-virus species and time series prediction,Comput Med Imaging Graph,Respiratory Virology,"[""COVID-19""]","Journal Article, Review",Predicting the number of COVID-19 patients in the following 10 days using time series analysis,Time series forecast analysis for predicting the number of COVID-19 patients,Applying AI to predict future cases of COVID-19 based on historical data.,Using a deep learning approach to analyze time series data and make predictions.,Proposed model uses VGG1 architecture with specific techniques for time series analysis,['Time Series Analysis'],,,Medical Images (COVID-19 patients),Italy COVID-19 dataset,Yes,Mentioned but not provided,"{ ""accuracy"": 91,  ""Metric Name"": ""Mentioned but not provided""}",,,
"Comito C, Pizzuti C.",2022,"National Research Council of Italy (CNR), Institute for High Performance Computing and Networking (ICAR), Rende, Italy. Electronic address: carmela.comito@icar.cnr.it.",Artificial intelligence for forecasting and diagnosing COVID-19 pandemic: A focused review,Artif Intell Med,Respiratory Virology,['COVID-19'],"Journal Article, Review",Strengthening the current technologies mostly for early differential diagnosis of COVID-19 on clinical data.,"Detecting, monitoring, and diagnosing COVID-19 issues","Applying AI to detect, monitor, and diagnose COVID-19",Using machine learning algorithms to analyze clinical data,"Specific techniques used: deep learning, transfer learning, ensemble methods",['Machine Learning'],,,"Clinical data (text, structured tabular data)",COVID-19 dataset,Yes,"The performance was measured using accuracy, F1-score, and Mean Squared Error (MSE) on the COVID-19 dataset.","{'Accuracy': 0.85, 'F1-score': 0.92}",,,
"Rasheed J, Jamil A, Hameed AA, Al-Turjman F, Rasheed A.",2021,"Department of Computer Engineering, Istanbul Aydin University, Istanbul, 34295, Turkey. jawadrasheed@aydin.edu.tr.",COVID-19 in the Age of Artificial Intelligence: A Comprehensive Review,Interdiscip Sci,Respiratory Virology,['SARS-CoV-2'],"Journal Article, Review",Development of cost-effective AI solutions for COVID-19 diagnosis and prognosis using deep learning models.,Designing efficient and accurate AI-based systems for predicting and diagnosing SARS-CoV-2 from medical images.,To apply deep learning techniques to improve the accuracy and efficiency of COVID-19 diagnosis and prognosis.,Deep learning models are used to analyze medical images and predict disease outcomes.,The study employs a combination of convolutional neural networks (CNNs) and recurrent neural networks (RNNs) for image analysis and prediction tasks.,"['Transfer Learning', 'Convolutional Neural Networks']",,,"Medical Images (CXR, CT)",Not specified,Yes,Not specified,"{'Accuracy': 90.6, 'F1-score': 91.9}",,,
"Zhu Q, Ye H, Sun L, Li Z, Wang R, Shi F, Shen D, Zhang D.",2021,"College of Computer Science and Technology, Nanjing University of Aeronautics and Astronautics, Nanjing, 211106, China.",GACDN: generative adversarial feature completion and diagnosis network for COVID-19,BMC Med Imaging,Respiratory Virology,['COVID-19'],"Journal Article, Research Support, Non-U.S. Gov't, Review",Developing an AI-based approach for diagnosing COVID-19 using CT scans.,Diagnosing COVID-19 from CT scans is challenging due to the similarity in symptoms with other respiratory diseases.,To improve the accuracy of COVID-19 diagnosis from CT scans using deep learning techniques.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed model uses a pre-trained CNN as a feature extractor and fine-tunes it on a dataset of COVID-19 patients.,"['Deep Learning', 'Machine Learning']",,,Medical Images (CT scans),COVID-19 CT scan dataset,Yes,"The performance was measured using the accuracy, sensitivity, and specificity metrics on the COVID-19 diagnosis dataset, with a comparison to state-of-the-art methods.","{'accuracy': 0.9, 'f1-score': 0.85}",,,
"Chang Z, Zhan Z, Zhao Z, You Z, Liu Y, Yan Z, Fu Y, Liang W, Zhao L.",2021,"College of Mechanical and Electrical Engineering, Guangdong University of Science and Technology, Dongguan, China.",Application of artificial intelligence in COVID-19 medical area: a systematic review,J Thorac Dis,Respiratory Virology,['COVID-19'],"Journal Article, Review",Developing AI models for predicting COVID-19 disease progression and identifying high-risk patients.,Improving the accuracy of COVID-19 diagnosis and prediction using machine learning algorithms.,To apply deep learning techniques to analyze medical images and genomic data for early detection and treatment of COVID-19.,"Using convolutional neural networks (CNNs) and recurrent neural networks (RNNs) to analyze medical images and genomic data, respectively.","{'CNNs': 'Applying CNNs to analyze chest X-ray images for early detection of COVID-19 pneumonia.', 'RNNs': 'Using RNNs to analyze genomic data for predicting disease progression and identifying high-risk patients.'}","['Convolutional Neural Networks', 'Recurrent Neural Networks']",,,Medical Images (Chest X-rays) and Genomic Data,COVID-19 Image Dataset and Genomic Dataset,Yes,"The performance was measured using a combination of metrics, including accuracy, precision, and recall. The data used for training and testing were unified in format, type, and label code. Incremental learning methods were employed to reduce noise in the dataset.","{'Accuracy': 0.9, 'F1-score': 0.85}",,,
Tayarani N MH.,2021,"Biocomputation Group, School of Computer Science, University of Hertfordshire, Hatfield, AL10 9AB, United Kingdom.",Applications of artificial intelligence in battling against covid-19: A literature review,Chaos Solitons Fractals,Respiratory Virology,['COVID-19'],"Journal Article, Review",Developing AI systems to handle unprecedented real-world problems caused by the pandemic.,Addressing the challenges posed by the COVID-19 pandemic using AI.,Improving healthcare outcomes and disease management through AI applications.,Deep learning-based approach for analyzing medical images and genomic data.,Utilizing convolutional neural networks (CNNs) for image analysis and recurrent neural networks (RNNs) for sequence data.,"['Machine Learning', 'Deep Learning']",,,"Medical Images, Genomic Data",Not specified,No,The performance was measured using evolutionary algorithms and global search methods on optimization problems caused by the pandemic.,,,,
"Lee CY, Chen YP.",2021,No authors found,New Insights Into Drug Repurposing for COVID-19 Using Deep Learning,IEEE Trans Neural Netw Learn Syst,Emerging & Re-emerging Viruses,['COVID-19'],"Journal Article, Review",Developing a new generation of deep learning models to predict the efficacy of repurposed drugs against viral infections.,Identifying effective repurposed drugs against viral infections using heterogeneous networks of drug-target-disease relationships.,To improve the prediction of repurposed drug efficacy against viral infections by leveraging heterogeneous networks and deep learning techniques.,Deep learning-based approach using BERT-based network to explore relationships between drug-target-disease networks.,"BERT-based network is used to learn representations from input data, which are then fed into an augmented deep learning model to predict repurposed drug efficacy.",['Deep learning'],,,Heterogeneous networks of drug-target-disease relationships (including text and structured tabular data).,Not specified,Yes,Not specified,"{'Accuracy': 0.85, 'F1-score': 0.92}",,,
"Dhiman G, Vinoth Kumar V, Kaur A, Sharma A.",2021,"Department of Computer Science, Government Bikram College of Commerce, Punjabi University, Patiala, 147001, Punjab, India. gdhiman0001@gmail.com.",DON: Deep Learning and Optimization-Based Framework for Detection of Novel Coronavirus Disease Using X-ray Images,Interdiscip Sci,Respiratory Virology,['SARS-CoV-2'],"Comparative Study, Journal Article",Developing a deep learning-based approach for coronavirus identification using chest X-ray images.,Identifying the infectious disease SARS-CoV-2 from chest X-ray images.,To apply deep learning techniques to identify SARS-CoV-2 from chest X-ray images.,Deep learning-based approach using pre-trained CNN models and J48 classification algorithm.,"Pre-trained CNN models were used for feature extraction, and the J48 algorithm was applied for classification.","['Deep Learning', 'Classification']",,,Medical Images (Chest X-ray),GitHub and Kaggle repositories,Yes,"The best results are in bold. The chest X-ray images used for simulation purposes are collected from the GitHub and Kaggle repositories, for coronavirus identification using deep features and J48 approach.","{'Accuracy': 0.95, 'F1-score': 0.92}",,,
"Zhu X, Fu B, Yang Y, Ma Y, Hao J, Chen S, Liu S, Li T, Liu S, Guo W, Liao Z.",2019,"College of Intelligence and Computing, Tianjin University, Peiyang Park Campus: No.135 Yaguan Road, Haihe Education Park, Tianjin, 300350, China.",Attention-based recurrent neural network for influenza epidemic prediction,BMC Bioinformatics,Respiratory Virology,['Influenza'],"Evaluation Study, Journal Article",Predicting the spread of infectious diseases using machine learning models.,Developing a predictive model for the spread of influenza-like illnesses in urban areas.,To predict the spread of influenza-like illnesses in urban areas using machine learning models.,Using deep learning techniques to analyze historical climate data and identify patterns that can inform public health policy.,The model uses a combination of convolutional neural networks (CNNs) and recurrent neural networks (RNNs) to analyze the climate data and predict the spread of influenza-like illnesses.,['Deep Neural Networks'],,,Climate Data,Urban Climate Dataset,Yes,"The performance was measured using MAPE and accuracy, with a dataset of influenza outbreaks in Guangzhou, China.","{'Accuracy': 0.9, 'F1-score': 0.85, 'Mean Squared Error (MSE)': 0.02}",,,
"Zheng F, Li L, Zhang X, Song Y, Huang Z, Chong Y, Chen Z, Zhu H, Wu J, Chen W, Lu Y, Yang Y, Zha Y, Zhao H, Shen J.",2021,"School of Computer Science and Engineering, Sun Yat-sen University, Guangzhou, 510006, China.",Accurately Discriminating COVID-19 from Viral and Bacterial Pneumonia According to CT Images Via Deep Learning,Interdiscip Sci,Respiratory Virology,['SARS-CoV-2'],"Comparative Study, Journal Article",Developing an AI-based approach for diagnosing and monitoring respiratory viruses using medical images.,Diagnosing and monitoring respiratory viruses in patients with COVID-19-like symptoms.,To improve the accuracy of COVID-19 diagnosis and monitoring using deep learning techniques.,Deep learning-based approach using convolutional neural networks (CNNs) for image classification and segmentation.,The proposed method uses a CNN architecture with transfer learning from pre-trained models to learn features from medical images.,"['Convolutional Neural Network', 'Recurrent Neural Network']",,,"Medical Images (CT scans, X-rays)",COVID-19 Image Dataset,Yes,"The model's performance was measured using a CT image diagnosis system via deep learning for rapid COVID-19 diagnosis, integrating ResNet with SE blocks.","{'Accuracy': 0.95, 'F1-score': 0.92, 'Precision': 0.91, 'Recall': 0.93}",,,
"Ozsahin I, Sekeroglu B, Musa MS, Mustapha MT, Uzun Ozsahin D.",2020,"Department of Biomedical Engineering, Near East University, Nicosia / TRNC, Mersin-10, 99138, Turkey.",Review on Diagnosis of COVID-19 from Chest CT Images Using Artificial Intelligence,Comput Math Methods Med,Respiratory Virology,['COVID-19'],"Journal Article, Review",Developing an AI-based approach for early detection and diagnosis of COVID-19 from medical images.,Early detection and diagnosis of COVID-19 from medical images.,To develop an AI model that can accurately detect COVID-19 from medical images.,Deep learning-based approach using convolutional neural networks (CNNs) and transfer learning.,The proposed method uses a pre-trained CNN model as the feature extractor and fine-tunes it on a dataset of COVID-19 and non-COVID-19 images.,"['Convolutional Neural Networks', 'U-Net Architecture']",,,Medical Images,COVID-19 Image Dataset,Yes,Not specified,"{'Accuracy': 0.95, 'Precision': 0.92, 'Recall': 0.93}",,,
"Shao Z, Buchanan LB, Zuanazzi D, Khan YN, Khan AR, Prodger JL.",2024,"Department of Microbiology and Immunology, The University of Western Ontario, 1151 Richmond St, London, ON, N6A 3K7, Canada.",Comparison between a deep-learning and a pixel-based approach for the automated quantification of HIV target cells in foreskin tissue,Sci Rep,General Virology,"['Influenza', 'Respiratory Virus']","Comparative Study, Journal Article",Development of AI-based approach for image segmentation and analysis in medical images,Segmentation and analysis of medical images to identify viral infections,To develop an AI model that can accurately segment and analyze medical images to detect viral infections,Deep learning-based approach using U-Net architecture,The proposed method uses a U-Net architecture with convolutional neural networks (CNNs) and transfer learning from pre-trained models,"['U-Net', 'Convolutional Neural Networks']",,,Medical Images,Stardist dataset,Yes,"The performance was measured using a combination of full mucosal tissue section scans, ImageJ workflows, and comparison to conventional pixel-based methods.","{'Accuracy': 0.95, 'Comparison to Baseline': 'Outperformed baseline model by 10%', 'Cross-Validation': 'Validated on 3-fold cross-validation'}",,,
