Sl.No,Authors,Year of publication,Primary affiliation of primary author,Title of article,Name of Publication/Journal,Subdomain,Disease Name,Type of Evidence Source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and What was measured?,Performance Metrics,Performance score,
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.94, 'Jaccard Index': 0.89, 'Correlation Coefficient': 0.99}",
,,,,,,,,,,,,,"In SegNet-GA, the Genetic Algorithm (GA) prunes the SegNet architecture by evolving a population of models over several generations. The GA uses genetic operations such as selection, crossover, and mutation to modify the structure of the SegNet network. By iteratively removing unnecessary neurons and layers, the GA optimizes the model's size and performance. The fitness of each model is determined by its segmentation accuracy and the reduced size, with the most efficient solution being selected for further evaluation.",SegNet-GA (SegNet with Genetic Algorithm),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.96, 'Jaccard Index': 0.93, 'Correlation Coefficient': 0.98}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.94, 'Jaccard Index': 0.89, 'Correlation Coefficient': 0.98}",
,,,,,,,,,,,,,"In SegNet-PSO, Particle Swarm Optimization (PSO) is employed to prune the SegNet model by optimizing its architecture. PSO treats each particle as a potential solution, adjusting the network’s layers and neurons through iterative movements based on the fitness of the solutions. The swarm collectively searches for the optimal model configuration, pruning unnecessary components to reduce the model size while retaining segmentation accuracy. The process continues until an efficient and high-performing model is found.",SegNet-PSO (SegNet with Particle Swarm Optimization),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.96, 'Jaccard Index': 0.94, 'Correlation Coefficient': 0.99}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.95, 'Jaccard Index': 0.91, 'Correlation Coefficient': 0.99}",
,,,,,,,,,,,,,"In SegNet-WO, Whale Optimization (WO) is applied to prune the SegNet architecture. WO simulates the foraging behavior of humpback whales to explore different configurations of the SegNet model. By removing unnecessary neurons and layers, the algorithm optimizes the SegNet network’s size and performance. The optimization process ensures that the SegNet model is both storage-efficient and fast while preserving its accuracy in segmentation tasks.",SegNet-WO (SegNet with Whale Optimization),,,,,CroMed data set,Yes,"The performance of the pruned models on the CroMed dataset was evaluated using several metrics to assess the accuracy of lung segmentation and lesion detection. The primary metrics included Dice Similarity to measure the overlap between the predicted and ground truth lung regions, Jaccard Index for assessing the similarity between the predicted and actual lung areas, and Correlation Coefficient to evaluate the linear correlation between predicted and true segmentation. These metrics were computed based on the predicted lung segmentations and compared against the manually annotated ground truth data provided by radiologists.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.96, 'Jaccard Index': 0.94, 'Correlation Coefficient': 0.98}",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,"The models were further evaluated on the Unseen NovMed dataset to test their generalization to new, external data. The same performance metrics Dice Similarity, Jaccard Index, Correlation Coefficient were used to evaluate the lung segmentation results on this dataset. These metrics allowed for the measurement of how well the pruned models, trained on CroMed data, performed on a different dataset with distinct CT scan characteristics. The AUC and Dice Similarity values showed strong performance, confirming that the models were capable of accurately segmenting lung regions even on data they had never seen before, thus demonstrating their robustness and clinical applicability.","{ 'Dice Similarity', 'Jaccard Index', 'Correlation Coefficient'}","{'Dice Similarity': 0.95, 'Jaccard Index': 0.91, 'Correlation Coefficient': 0.99}",
,,,,,,,,,,,,,"Lesion detection in this study is performed using DenseNet-121 and Grad-CAM. DenseNet-121 is a deep convolutional neural network that classifies segmented lung regions into ""COVID-19"" or ""Control."" After lung segmentation, the segmented regions are passed through DenseNet-121, which identifies the presence of lesions. Grad-CAM is then applied to generate heatmaps that highlight the regions in the CT scan most responsible for the model’s decision, emphasizing areas with lesions. This combination helps accurately localize and visualize COVID-19-related lesions in the lungs, aiding in clinical diagnosis.",Lesion Detection using DenseNet-121 and Grad-CAM,,,,,CroMed data set,Yes,"the performance metrics in the traditional sense (such as Dice and Jaccard) are not provided, and it is likely that the focus was more on the qualitative evaluation of the generated heatmaps rather than quantitative performance metrics.","The qualitative performance of lesion detection was assessed using Grad-CAM generated heatmaps with the DenseNet-121 model. These heatmaps visually highlighted COVID-19 lesions, such as ground-glass opacities, by overlaying them on the segmented lung regions in CT scans. This approach helped identify the affected areas, aiding clinical decision-making and improving the interpretability of the AI model's predictions.","The qualitative performance of lesion detection was assessed using Grad-CAM generated heatmaps with the DenseNet-121 model. These heatmaps visually highlighted COVID-19 lesions, such as ground-glass opacities, by overlaying them on the segmented lung regions in CT scans. This approach helped identify the affected areas, aiding clinical decision-making and improving the interpretability of the AI model's predictions.",
,,,,,,,,,,,,,,,,,,,NovMed data set,Yes,,,,
3,"Gidde PS, Prasad SS, Singh AP, Bhatheja N, Prakash S, Singh P, Saboo A, Takhar R, Gupta S, Saurav S, M V R, Singh A, Sardana V, Mahajan H, Kalyanpur A, Mandal AS, Mahajan V, Agrawal A, Agrawal A, Venugopal VK, Singh S, Dash D.",2021,"CSIR-Central Electronics Engineering Research Institute, Pilani, Rajasthan, 333031, India.",Validation of expert system enhanced deep learning algorithm for automated screening for COVID-Pneumonia on chest X-rays,Sci Rep,Respiratory Virology,['COVID-Pneumonia'],"Journal Article, Research Support, Non-U.S. Gov't, Validation Study","The primary aim of this research is to develop CovBaseAI, an explainable tool for diagnosing COVID-Pneumonia from Chest X-rays (CxR) using an ensemble of deep learning (DL) models and an expert decision system (EDS).","This research seeks to address the challenge of diagnosing COVID-19 pneumonia from Chest X-rays using AI models trained on pre-COVID datasets, with a focus on ensuring explainability and generalizability across varied clinical environments.To develop an AI tool capable of accurately diagnosing COVID-19 pneumonia from Chest X-rays, even when trained on pre-COVID datasets.","To develop AI system for the detection of COVID-19 pneumonia from Chest X-rays. The system uses an ensemble of three deep learning models (lung segmentation, opacity detection, and pathology detection) along with an expert decision system to accurately classify COVID-19 likelihood. The system's objective is to achieve high performance, particularly in real-time screening and triaging scenarios, minimizing false negatives and false positives.","The AI methodology in this study involves the development of CovBaseAI, an explainable tool for diagnosing COVID-19 pneumonia from Chest X-rays. It combines three deep learning modules: a lung segmentation module using modified U-Net, a lung opacity detection module based on Faster R-CNN, and a pathology detection module using DenseNet-201. These modules independently analyze the CxR images, with outputs fed into an Expert Decision System (EDS) to classify the likelihood of COVID-19 pneumonia. The model was validated on two independent datasets and evaluated using various metrics, including sensitivity, specificity, accuracy, and AUC. The combination of deep learning and expert rules ensures both performance and explainability.","The AI method employed in this study consists of three main deep learning modules combined with a rule-based expert decision system. First, for lung segmentation, a modified U-Net architecture is used, where the encoder part is replaced with a VGG16 network pre-trained on ImageNet to speed up convergence and prevent overfitting. The U-Net model processes the chest X-ray images to produce binary lung masks. Second, for lung opacity detection, a Faster R-CNN architecture is applied. Faster R-CNN is a two-stage object detection method where the first stage generates region proposals, and the second stage classifies these proposals. It uses a VGG16 network as the backbone for feature extraction and is trained to detect opacity regions within the lung images. Third, for pathology detection, a DenseNet-201 model is utilized. DenseNet-201 is a convolutional neural network with dense connections between layers, which allows for better feature reuse and more accurate classification. The pathology detection module outputs probabilities for each pathology, including signs of pneumonia, which is integrated into the expert decision system. Finally, the rule-based expert decision system (EDS) classifies the X-ray image into three categories: COVID-likely, indeterminate, or COVID-unlikely, based on the outputs from the deep learning models. The EDS is fully explainable and modifiable, using rules derived from radiologists’ consensus to aid in accurate and interpretable diagnosis.",[' CovBaseAI - ensemble model combining deep learning techniques'],No,No,COVID-19 pneumonia detection,Chest X-Ray,IITAC1.4K,Yes,"The model's performance was assessed by comparing its predictions against radiologist annotations for COVID likelihood using metrics such as sensitivity, specificity, accuracy, F1 score, accuracy, NPV, PPV and Matthews correlation coefficient (MCC)","{""Sensitivity"", ""Specificity"", ""PPV"", ""NPV"", ""F1 Score"", ""Accuracy"", ""MCC"", ""AUC""}","{""Sensitivity"": 0.90, ""Specificity"": 0.86, ""PPV"": 0.41, ""NPV"": 0.98, ""F1 Score"": 0.57, ""Accuracy"": 0.87, ""MCC"": 0.56, ""AUC"": 0.88}",
,,,,,,,,,,,,,,,,,,,PD1K,Yes,"Prediction output of the CovBaseAI model was compared against pneumonia consolidation label annotated by radiologists instead of their RT-PCR status using metrics such as sensitivity, specificity, accuracy, F1 score, accuracy, NPV, PPV and Matthews correlation coefficient (MCC)","{""Sensitivity"", ""Specificity"", ""PPV"", ""NPV"", ""F1 Score"", ""Accuracy"", ""MCC"", ""AUC""}"," {""Sensitivity"": 0.84, ""Specificity"": 0.81, ""PPV"": 0.83, ""NPV"": 0.81, ""F1 Score"": 0.84, ""Accuracy"": 0.82, ""MCC"": 0.65, ""AUC"": 0.89}",
,,,,,,,,,,,,,,,,,,,CID1K,Yes,The model's predictions were compared against RT-PCR results to assess its diagnostic accuracy in distinguishing COVID-19 infection from other conditions.,"{""Sensitivity"", ""Specificity"", ""PPV"", ""NPV"", ""F1 Score"", ""Accuracy"", ""MCC"", ""AUC""}"," {""Sensitivity"": 0.66, ""Specificity"": 0.57, ""PPV"": 0.59, ""NPV"": 0.64, ""F1 Score"": 0.62, ""Accuracy"": 0.61, ""MCC"": 0.23, ""AUC"": 0.63}",
,,,,,,,,,,,,,,,,,,,CPD600,Yes,"The model’s ability to identify COVID pneumonia was evaluated by comparing its outputs against the combined RT-PCR and radiologist diagnoses using metrics such as sensitivity, specificity, accuracy, F1 score, accuracy, NPV, PPV and Matthews correlation coefficient (MCC)","{""Sensitivity"", ""Specificity"", ""PPV"", ""NPV"", ""F1 Score"", ""Accuracy"", ""MCC"", ""AUC""}","{""Sensitivity"": 0.83, ""Specificity"": 0.77, ""PPV"": 0.79, ""NPV"": 0.81, ""F1 Score"": 0.81, ""Accuracy"": 0.80, ""MCC"": 0.60, ""AUC"": 0.83}",
,,,,,,,,,,,,,,,,,,,COVIDx1K,Yes,"The model's generalization performance across different geographical regions and datasets was evaluated. The COVIDx1K dataset provided an independent validation set to assess how CovBaseAI would perform on data that it had never seen before, thus testing its robustness and adaptability to new environments using metrics such as sensitivity, specificity, accuracy, F1 score, accuracy, NPV, PPV and Matthews correlation coefficient (MCC)","{""Sensitivity"", ""Specificity"", ""PPV"", ""NPV"", ""F1 Score"", ""Accuracy"", ""MCC"", ""AUC""}","{""Sensitivity"": 0.78, ""Specificity"": 0.97, ""PPV"": 0.79, ""NPV"": 0.97, ""F1 Score"": 0.78, ""Accuracy"": 0.95, ""MCC"": 0.76, ""AUC"": 0.89}",
