Authors,Year of publication,Title of article,Name of Publication/Journal,Title,authors,category,date,Abstract,doi,source_file,Combined_Text,Is_infectious,Is_infectious
"Coutinho, G. G. F.; Camara, G. B. M.; Barbosa, R. D. M.; Fernandes, M. A. C.",2021,Deep learning based on stacked sparse autoencoder applied to viral genome classification of SARS-CoV-2 virus,Bioinformatics,Deep learning based on stacked sparse autoencoder applied to viral genome classification of SARS-CoV-2 virus,"Coutinho, G. G. F.; Camara, G. B. M.; Barbosa, R. D. M.; Fernandes, M. A. C.",Bioinformatics,2021-10-15 00:00:00 UTC,"Since December 2019, the world has been intensely affected by the COVID-19 pandemic, caused by the SARS-CoV-2 virus, first identified in Wuhan, China. In the case of a novel virus identification, the early elucidation of taxonomic classification and origin of the virus genomic sequence is essential for strategic planning, containment, and treatments. Deep learning techniques have been successfully used in many viral classification problems associated with viral infections diagnosis, metagenomics, phylogenetic, and analysis. This work proposes to generate an efficient viral genome classifier for the SARS-CoV-2 virus using the deep neural network (DNN) based on stacked sparse autoencoder (SSAE) technique. We performed four different experiments to provide different levels of taxonomic classification of the SARS-CoV-2 virus. The confusion matrix presented the validation and test sets and the ROC curve for the validation set. In all experiments, the SSAE technique provided great performance results. In this work, we explored the utilization of image representations of the complete genome sequences as the SSAE input to provide a viral classification of the SARS-CoV-2. For that, a dataset based on k-mers image representation, with k = 6, was applied. The results indicated the applicability of using this deep learning technique in genome classification problems.",10.1101/2021.10.14.464414,virology-deep-learning.xlsx,"Deep learning based on stacked sparse autoencoder applied to viral genome classification of SARS-CoV-2 virus Since December 2019, the world has been intensely affected by the COVID-19 pandemic, caused by the SARS-CoV-2 virus, first identified in Wuhan, China. In the case of a novel virus identification, the early elucidation of taxonomic classification and origin of the virus genomic sequence is essential for strategic planning, containment, and treatments. Deep learning techniques have been successfully used in many viral classification problems associated with viral infections diagnosis, metagenomics, phylogenetic, and analysis. This work proposes to generate an efficient viral genome classifier for the SARS-CoV-2 virus using the deep neural network (DNN) based on stacked sparse autoencoder (SSAE) technique. We performed four different experiments to provide different levels of taxonomic classification of the SARS-CoV-2 virus. The confusion matrix presented the validation and test sets and the ROC curve for the validation set. In all experiments, the SSAE technique provided great performance results. In this work, we explored the utilization of image representations of the complete genome sequences as the SSAE input to provide a viral classification of the SARS-CoV-2. For that, a dataset based on k-mers image representation, with k = 6, was applied. The results indicated the applicability of using this deep learning technique in genome classification problems.",1,1
"Fan, J.; Chen, C.; Song, C.; Pan, J.; Wu, G.",2021,A multi-class gene classifier for SARS-CoV-2 variants based on convolutional neural network,Bioinformatics,A multi-class gene classifier for SARS-CoV-2 variants based on convolutional neural network,"Fan, J.; Chen, C.; Song, C.; Pan, J.; Wu, G.",Bioinformatics,2021-11-23 00:00:00 UTC,"Surveillance of circulating variants of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is of great importance in controlling the coronavirus disease 2019 (COVID-19) pandemic. We propose an alignment-free in silico approach for classifying SARS-CoV-2 variants based on their genomic sequences. A deep learning model was constructed utilizing a stacked 1-D convolutional neural network and multilayer perceptron (MLP). The pre-processed genomic sequencing data of the four SARS-CoV-2 variants were first fed to three stacked convolution-pooling nets to extract local linkage patterns in the sequences. Then a 2-layer MLP was used to compute the correlations between the input and output. Finally, a logistic regression model transformed the output and returned the probability values. Learning curves and stratified 10-fold cross-validation showed that the proposed classifier enables robust variant classification. External validation of the classifier showed an accuracy of 0.9962, precision of 0.9963, recall of 0.9963 and F1 score of 0.9962, outperforming other machine learning methods, including logistic regression, K-nearest neighbor, support vector machine, and random forest. By comparing our model with an MLP model without the convolution-pooling network, we demonstrate the essential role of convolution in extracting viral variant features. Thus, our results indicate that the proposed convolution-based multi-class gene classifier is efficient for the variant classification of SARS-CoV-2.",10.1101/2021.11.22.469492,virology-deep-learning.xlsx,"A multi-class gene classifier for SARS-CoV-2 variants based on convolutional neural network Surveillance of circulating variants of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) is of great importance in controlling the coronavirus disease 2019 (COVID-19) pandemic. We propose an alignment-free in silico approach for classifying SARS-CoV-2 variants based on their genomic sequences. A deep learning model was constructed utilizing a stacked 1-D convolutional neural network and multilayer perceptron (MLP). The pre-processed genomic sequencing data of the four SARS-CoV-2 variants were first fed to three stacked convolution-pooling nets to extract local linkage patterns in the sequences. Then a 2-layer MLP was used to compute the correlations between the input and output. Finally, a logistic regression model transformed the output and returned the probability values. Learning curves and stratified 10-fold cross-validation showed that the proposed classifier enables robust variant classification. External validation of the classifier showed an accuracy of 0.9962, precision of 0.9963, recall of 0.9963 and F1 score of 0.9962, outperforming other machine learning methods, including logistic regression, K-nearest neighbor, support vector machine, and random forest. By comparing our model with an MLP model without the convolution-pooling network, we demonstrate the essential role of convolution in extracting viral variant features. Thus, our results indicate that the proposed convolution-based multi-class gene classifier is efficient for the variant classification of SARS-CoV-2.",1,1
"Green, A. G.; Yoon, C. H.; Chen, M. L.; Freschi, L.; Gro?schel, M. I.; Kohane, I. S.; Beam, A.; Farhat, M. R.",2021,A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis,Genomics,A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis,"Green, A. G.; Yoon, C. H.; Chen, M. L.; Freschi, L.; Gro?schel, M. I.; Kohane, I. S.; Beam, A.; Farhat, M. R.",Genomics,2021-12-07 00:00:00 UTC,"Long diagnostic wait times hinder international efforts to address multi-drug resistance in M. tuberculosis. Pathogen whole genome sequencing, coupled with statistical and machine learning models, offers a promising solution. However, generalizability and clinical adoption have been limited in part by a lack of interpretability and verifiability, especially in deep learning methods. Here, we present a deep convolutional neural network (CNN) that predicts the antibiotic resistance phenotypes of M. tuberculosis isolates. The CNN performs with state-of-the-art levels of predictive accuracy. Evaluation of salient sequence features permits biologically meaningful interpretation and validation of the CNNs predictions, with promising repercussions for functional variant discovery, clinical applicability, and translation to phenotype prediction in other organisms.",10.1101/2021.12.06.471431,virology-deep-learning.xlsx,"A convolutional neural network highlights mutations relevant to antimicrobial resistance in Mycobacterium tuberculosis Long diagnostic wait times hinder international efforts to address multi-drug resistance in M. tuberculosis. Pathogen whole genome sequencing, coupled with statistical and machine learning models, offers a promising solution. However, generalizability and clinical adoption have been limited in part by a lack of interpretability and verifiability, especially in deep learning methods. Here, we present a deep convolutional neural network (CNN) that predicts the antibiotic resistance phenotypes of M. tuberculosis isolates. The CNN performs with state-of-the-art levels of predictive accuracy. Evaluation of salient sequence features permits biologically meaningful interpretation and validation of the CNNs predictions, with promising repercussions for functional variant discovery, clinical applicability, and translation to phenotype prediction in other organisms.",1,1
"Blanchard, A. E.; Gounley, J.; Bhowmik, D.; Chandra Shekar, M.; Lyngaas, I.; Gao, S.; Yin, J.; Tsaris, A.; Wang, F.; Glaser, J.",2021,Language Models for the Prediction of SARS-CoV-2 Inhibitors,Bioinformatics,Language Models for the Prediction of SARS-CoV-2 Inhibitors,"Blanchard, A. E.; Gounley, J.; Bhowmik, D.; Chandra Shekar, M.; Lyngaas, I.; Gao, S.; Yin, J.; Tsaris, A.; Wang, F.; Glaser, J.",Bioinformatics,2021-12-14 00:00:00 UTC,"The COVID-19 pandemic highlights the need for computational tools to automate and accelerate drug design for novel protein targets. We leverage deep learning language models to generate and score drug candidates based on predicted protein binding affinity. We pre-trained a deep learning language model (BERT) on [~]9.6 billion molecules and achieved peak performance of 603 petaflops in mixed precision. Our work reduces pre-training time from days to hours, compared to previous efforts with this architecture, while also increasing the dataset size by nearly an order of magnitude. For scoring, we fine-tuned the language model using an assembled set of thousands of protein targets with binding affinity data and searched for inhibitors of specific protein targets, SARS-CoV-2 Mpro and PLpro. We utilized a genetic algorithm approach for finding optimal candidates using the generation and scoring capabilities of the language model. Our generalizable models accelerate the identification of inhibitors for emerging therapeutic targets.",10.1101/2021.12.10.471928,virology-deep-learning.xlsx,"Language Models for the Prediction of SARS-CoV-2 Inhibitors The COVID-19 pandemic highlights the need for computational tools to automate and accelerate drug design for novel protein targets. We leverage deep learning language models to generate and score drug candidates based on predicted protein binding affinity. We pre-trained a deep learning language model (BERT) on [~]9.6 billion molecules and achieved peak performance of 603 petaflops in mixed precision. Our work reduces pre-training time from days to hours, compared to previous efforts with this architecture, while also increasing the dataset size by nearly an order of magnitude. For scoring, we fine-tuned the language model using an assembled set of thousands of protein targets with binding affinity data and searched for inhibitors of specific protein targets, SARS-CoV-2 Mpro and PLpro. We utilized a genetic algorithm approach for finding optimal candidates using the generation and scoring capabilities of the language model. Our generalizable models accelerate the identification of inhibitors for emerging therapeutic targets.",1,1
"Kalcsevszki, R.; Horvath, A.; Gyorffy, B.; Pongor, S.; Ligeti, B.",2022,CovidOutcome2: a tool for SARS-CoV2 mutation identification and for disease severity prediction,Bioinformatics,CovidOutcome2: a tool for SARS-CoV2 mutation identification and for disease severity prediction,"Kalcsevszki, R.; Horvath, A.; Gyorffy, B.; Pongor, S.; Ligeti, B.",Bioinformatics,2022-07-01 00:00:00 UTC,"Our goal was to develop a platform, CovidOutcome2, capable of predicting disease severity from viral mutation profiles using automated machine learning (autoML) and deep neural networks applied to the available large corpus of sequenced SARS-CoV2 genomes. CovidOutcome2 accepts either user-submitted genomes or user defined mutation combinations as the input. The output is a predicted severity score plus a list of identified, annotated mutations and their functional effects in VCF format. The best model performance is a ROC-AUC 0.899 for the model including patient age and ROC-AUC 0.83 for the model without patient age.

AvailabilityCovidOutcome is freely available online under the URL https://www.covidoutcome.bio-ml.com as well as in a standalone version https://github.com/bio-apps/covid-outcome.",10.1101/2022.07.01.496571,virology-deep-learning.xlsx,"CovidOutcome2: a tool for SARS-CoV2 mutation identification and for disease severity prediction Our goal was to develop a platform, CovidOutcome2, capable of predicting disease severity from viral mutation profiles using automated machine learning (autoML) and deep neural networks applied to the available large corpus of sequenced SARS-CoV2 genomes. CovidOutcome2 accepts either user-submitted genomes or user defined mutation combinations as the input. The output is a predicted severity score plus a list of identified, annotated mutations and their functional effects in VCF format. The best model performance is a ROC-AUC 0.899 for the model including patient age and ROC-AUC 0.83 for the model without patient age.

AvailabilityCovidOutcome is freely available online under the URL https://www.covidoutcome.bio-ml.com as well as in a standalone version https://github.com/bio-apps/covid-outcome.",0,1
"Gao, A.; Fischer-Jenssen, J.; Slavic, D.; Rutherford, K.; Lippert, S.; Wilson, E.; Chen, S.; Leon-Velarde, C. G.; Martos, P.",2022,Serotyping Salmonella Enteritidis and Typhimurium Using Whole Cell Matrix Assisted Laser Desorption Ionization - Time of Flight Mass Spectrometry (MALDI-TOF MS) through Multivariate Analysis and Artificial Intelligence,Microbiology,Serotyping Salmonella Enteritidis and Typhimurium Using Whole Cell Matrix Assisted Laser Desorption Ionization - Time of Flight Mass Spectrometry (MALDI-TOF MS) through Multivariate Analysis and Artificial Intelligence,"Gao, A.; Fischer-Jenssen, J.; Slavic, D.; Rutherford, K.; Lippert, S.; Wilson, E.; Chen, S.; Leon-Velarde, C. G.; Martos, P.",Microbiology,2022-07-02 00:00:00 UTC,"Salmonella is one of the most frequent food-borne zoonoses, while Salmonella Typhimurium and Enteritidis are the major serovars of concern in public health. 113 Salmonella strains including 38 S. Enteritidis (SE), 38 S. Typhimurium (ST) and 37 strains of 32 other Salmonella serovars (SG) were tested in quadruplicate by whole-cell MALDI-TOF MS. Ions were studied and aligned from the raw data of mzXML files using Mass-Up (http://www.sing-group.org/mass-up), resulting in 1,741 aligned peaks. Datasets of ions (presence/absence) selected using a home-developed criteria on their specificity and detectability were subjected to multivariate analyses and artificial intelligence tools. Principle Component Analysis based on 88 selected ions separated SE, ST and SG without overlap on the first three principle components. The network and forest based deep learning tools were more sophisticated than the decision tree-based models. Neural Network carried out consistently well in training model, but no advantage was gained over the other models in validation results. HP (high performance) Neural, Support Vector Machine, HP Forest and Gradient Boasting were able to identify SE, ST and SG up to 100% correctly in both training and validation when 88 selected ions were used in analysis. Among them, HP Neural seemed to perform slightly better and relatively stable. Selection of serovar specific ions helps develop serotyping by increasing signal to noise. MALDI-TOF MS used with appropriate data processing strategies and classification tools could be applied to quickly alert when Salmonella serotypes of concern are suspected among routinely processed samples.",10.1101/2022.07.01.498527,virology-deep-learning.xlsx,"Serotyping Salmonella Enteritidis and Typhimurium Using Whole Cell Matrix Assisted Laser Desorption Ionization - Time of Flight Mass Spectrometry (MALDI-TOF MS) through Multivariate Analysis and Artificial Intelligence Salmonella is one of the most frequent food-borne zoonoses, while Salmonella Typhimurium and Enteritidis are the major serovars of concern in public health. 113 Salmonella strains including 38 S. Enteritidis (SE), 38 S. Typhimurium (ST) and 37 strains of 32 other Salmonella serovars (SG) were tested in quadruplicate by whole-cell MALDI-TOF MS. Ions were studied and aligned from the raw data of mzXML files using Mass-Up (http://www.sing-group.org/mass-up), resulting in 1,741 aligned peaks. Datasets of ions (presence/absence) selected using a home-developed criteria on their specificity and detectability were subjected to multivariate analyses and artificial intelligence tools. Principle Component Analysis based on 88 selected ions separated SE, ST and SG without overlap on the first three principle components. The network and forest based deep learning tools were more sophisticated than the decision tree-based models. Neural Network carried out consistently well in training model, but no advantage was gained over the other models in validation results. HP (high performance) Neural, Support Vector Machine, HP Forest and Gradient Boasting were able to identify SE, ST and SG up to 100% correctly in both training and validation when 88 selected ions were used in analysis. Among them, HP Neural seemed to perform slightly better and relatively stable. Selection of serovar specific ions helps develop serotyping by increasing signal to noise. MALDI-TOF MS used with appropriate data processing strategies and classification tools could be applied to quickly alert when Salmonella serotypes of concern are suspected among routinely processed samples.",0,1
"Knafou, J.; Haas, Q.; Borissov, N.; Counotte, M. J.; Low, N.; Imeri, H.; Ipekci, A. M.; Buitrago-Garcia, D.; Heron, L.; Amini, P.; Teodoro, D.",2023,Ensemble of deep learning language models to support the creation of living systematic reviews for the COVID-19 literature,Bioinformatics,Ensemble of deep learning language models to support the creation of living systematic reviews for the COVID-19 literature,"Knafou, J.; Haas, Q.; Borissov, N.; Counotte, M. J.; Low, N.; Imeri, H.; Ipekci, A. M.; Buitrago-Garcia, D.; Heron, L.; Amini, P.; Teodoro, D.",Bioinformatics,2023-05-24 00:00:00 UTC,"BackgroundThe COVID-19 pandemic has led to an unprecedented amount of scientific publications, growing at a pace never seen before. Multiple living systematic reviews have been developed to assist professionals with up-to-date and trustworthy health information, but it is increasingly challenging for systematic reviewers to keep up with the evidence in electronic databases. We aimed to investigate deep learning-based machine learning algorithms to classify COVID-19 related publications to help scale-up the epidemiological curation process.

MethodsIn this retrospective study, five different pre-trained deep learning-based language models were fine-tuned on a dataset of 6,365 publications manually classified into two classes, three subclasses and 22 sub-subclasses relevant for epidemiological triage purposes. In a k-fold cross-validation setting, each standalone model was assessed on a classification task and compared against an ensemble, which takes the standalone model predictions as input and uses different strategies to infer the optimal article class. A ranking task was also considered, in which the model outputs a ranked list of sub-subclasses associated with the article.

ResultsThe ensemble model significantly outperformed the standalone classifiers, achieving a F1-score of 89.2 at the class level of the classification task. The difference between the standalone and ensemble models increases at the sub-subclass level, where the ensemble reaches a micro F1-score of 70% against 67% for the best performing standalone model. For the ranking task, the ensemble obtained the highest recall@3, with a performance of 89%. Using an unanimity voting rule, the ensemble can provide predictions with higher confidence on a subset of the data, achieving detection of original papers with a F1-score up to 97% on a subset of 80% of the collection instead of 93% on the whole dataset.

ConclusionThis study shows the potential of using deep learning language models to perform triage of COVID-19 references efficiently and support epidemiological curation and review. The ensemble consistently and significantly outperforms any standalone model. Fine-tuning the voting strategy thresholds is an interesting alternative to annotate a subset with higher predictive confidence.",10.1101/2023.01.18.524571,virology-deep-learning.xlsx,"Ensemble of deep learning language models to support the creation of living systematic reviews for the COVID-19 literature BackgroundThe COVID-19 pandemic has led to an unprecedented amount of scientific publications, growing at a pace never seen before. Multiple living systematic reviews have been developed to assist professionals with up-to-date and trustworthy health information, but it is increasingly challenging for systematic reviewers to keep up with the evidence in electronic databases. We aimed to investigate deep learning-based machine learning algorithms to classify COVID-19 related publications to help scale-up the epidemiological curation process.

MethodsIn this retrospective study, five different pre-trained deep learning-based language models were fine-tuned on a dataset of 6,365 publications manually classified into two classes, three subclasses and 22 sub-subclasses relevant for epidemiological triage purposes. In a k-fold cross-validation setting, each standalone model was assessed on a classification task and compared against an ensemble, which takes the standalone model predictions as input and uses different strategies to infer the optimal article class. A ranking task was also considered, in which the model outputs a ranked list of sub-subclasses associated with the article.

ResultsThe ensemble model significantly outperformed the standalone classifiers, achieving a F1-score of 89.2 at the class level of the classification task. The difference between the standalone and ensemble models increases at the sub-subclass level, where the ensemble reaches a micro F1-score of 70% against 67% for the best performing standalone model. For the ranking task, the ensemble obtained the highest recall@3, with a performance of 89%. Using an unanimity voting rule, the ensemble can provide predictions with higher confidence on a subset of the data, achieving detection of original papers with a F1-score up to 97% on a subset of 80% of the collection instead of 93% on the whole dataset.

ConclusionThis study shows the potential of using deep learning language models to perform triage of COVID-19 references efficiently and support epidemiological curation and review. The ensemble consistently and significantly outperforms any standalone model. Fine-tuning the voting strategy thresholds is an interesting alternative to annotate a subset with higher predictive confidence.",1,1
"Ahmadi, H.; Nikoofard, V.; Nikoofard, H.; Abdolvahab, R.; Nikoofard, N.; Esmaeilzadeh, M.",2023,Prediction of SARS-CoV-2 spike protein mutations using Sequence-to-Sequence and Transformer models,Bioinformatics,Prediction of SARS-CoV-2 spike protein mutations using Sequence-to-Sequence and Transformer models,"Ahmadi, H.; Nikoofard, V.; Nikoofard, H.; Abdolvahab, R.; Nikoofard, N.; Esmaeilzadeh, M.",Bioinformatics,2023-01-23 00:00:00 UTC,"In the study of viral epidemics, having information about the structural evolution of the virus can be very helpful in controlling the disease and making vaccines. Various deep learning and natural language processing techniques (NLP) can be used to analyze genetic structure of viruses, namely to predict their mutations. In this paper, by using Sequence-to-Sequence (Seq2Seq) model with Long Short-Term Memory (LSTM) cell and Transformer model with the attention mechanism, we investigate the spike protein mutations of SARS-CoV-2 virus. We make time-series datasets of the spike protein sequences of this virus and generate upcoming spike protein sequences. We also determine the mutations of the generated spike protein sequences, by comparing these sequences with the Wuhan spike protein sequence. We train the models to make predictions in December 2021, February 2022, and October 2022. Furthermore, we find that some of our generated spike protein sequences have been reported in December 2021 and February 2022, which belong to Delta and Omicron variants. The results obtained in the present study could be useful for prediction of future mutations of SARS-CoV-2 and other viruses.",10.1101/2023.01.23.525130,virology-deep-learning.xlsx,"Prediction of SARS-CoV-2 spike protein mutations using Sequence-to-Sequence and Transformer models In the study of viral epidemics, having information about the structural evolution of the virus can be very helpful in controlling the disease and making vaccines. Various deep learning and natural language processing techniques (NLP) can be used to analyze genetic structure of viruses, namely to predict their mutations. In this paper, by using Sequence-to-Sequence (Seq2Seq) model with Long Short-Term Memory (LSTM) cell and Transformer model with the attention mechanism, we investigate the spike protein mutations of SARS-CoV-2 virus. We make time-series datasets of the spike protein sequences of this virus and generate upcoming spike protein sequences. We also determine the mutations of the generated spike protein sequences, by comparing these sequences with the Wuhan spike protein sequence. We train the models to make predictions in December 2021, February 2022, and October 2022. Furthermore, we find that some of our generated spike protein sequences have been reported in December 2021 and February 2022, which belong to Delta and Omicron variants. The results obtained in the present study could be useful for prediction of future mutations of SARS-CoV-2 and other viruses.",1,1
"Derbel, H.; Giacoletto, C.; Benjamin, R.; Chen, G.; Schiller, M. R.; Liu, Q.",2023,Accurate prediction of transcriptional activity of single missense variants in HIV Tat with deep learning,Bioinformatics,Accurate prediction of transcriptional activity of single missense variants in HIV Tat with deep learning,"Derbel, H.; Giacoletto, C.; Benjamin, R.; Chen, G.; Schiller, M. R.; Liu, Q.",Bioinformatics,2023-03-20 00:00:00 UTC,"Tat is an essential gene for increasing the transcription of all HIV genes, and it affects HIV replication, HIV exit from latency, and AIDS progression. The Tat gene frequently mutates in vivo producing variants with diverse activities, contributing to HIV viral heterogeneity, as well as drug-resistant clones. Thus, identifying the transcriptional activities of Tat variants will help to better understand AIDS pathology and treatment. We recently reported the missense mutation landscape of all single amino acid Tat variants. In these experiments, a fraction of double missense alleles exhibited intragenic epistasis. It is too time-consuming and costly to determine a variants effect for all double mutant alleles with experiments. Therefore, we propose a combined GigaAssay/Deep learning approach. As a first step for determining activity landscapes for complex variants, we evaluated a deep learning framework using previously reported GigaAssay experiments to predict how transcription activity is affected by Tat variants with single missense substitutions. Our approach achieves a 0.94 Pearson correlation coefficient when comparing experimental to predicted activities. This hybrid approach should be extensible to more complex Tat alleles for better understanding the genetic control of HIV genome transcription.",10.1101/2023.03.16.532970,virology-deep-learning.xlsx,"Accurate prediction of transcriptional activity of single missense variants in HIV Tat with deep learning Tat is an essential gene for increasing the transcription of all HIV genes, and it affects HIV replication, HIV exit from latency, and AIDS progression. The Tat gene frequently mutates in vivo producing variants with diverse activities, contributing to HIV viral heterogeneity, as well as drug-resistant clones. Thus, identifying the transcriptional activities of Tat variants will help to better understand AIDS pathology and treatment. We recently reported the missense mutation landscape of all single amino acid Tat variants. In these experiments, a fraction of double missense alleles exhibited intragenic epistasis. It is too time-consuming and costly to determine a variants effect for all double mutant alleles with experiments. Therefore, we propose a combined GigaAssay/Deep learning approach. As a first step for determining activity landscapes for complex variants, we evaluated a deep learning framework using previously reported GigaAssay experiments to predict how transcription activity is affected by Tat variants with single missense substitutions. Our approach achieves a 0.94 Pearson correlation coefficient when comparing experimental to predicted activities. This hybrid approach should be extensible to more complex Tat alleles for better understanding the genetic control of HIV genome transcription.",1,1
"Choi, S. B.; Kim, J.; Ahn, I.",2019,Forecasting type-specific seasonal influenza after 26 weeks in the United States using influenza activities in other countries,Bioinformatics,Forecasting type-specific seasonal influenza after 26 weeks in the United States using influenza activities in other countries,"Choi, S. B.; Kim, J.; Ahn, I.",Bioinformatics,2019-07-17 00:00:00 UTC,"To identify countries that have seasonal patterns similar to the time series of influenza surveillance data in the United States and other countries, and to forecast the 2018-2019 seasonal influenza outbreak in the U.S. using linear regression, auto regressive integrated moving average, and deep learning. We collected the surveillance data of 164 countries from 2010 to 2018 using the FluNet database. Data for influenza-like illness (ILI) in the U.S. were collected from the Fluview database. This cross-correlation study identified the time lag between the two time-series. Deep learning was performed to forecast ILI, total influenza, A, and B viruses after 26 weeks in the U.S. The seasonal influenza patterns in Australia and Chile showed a high correlation with those of the U.S. 22 weeks and 28 weeks earlier, respectively. The R2 score of DNN models for ILI for validation set in 2015-2019 was 0.722 despite how hard it is to forecast 26 weeks ahead. Our prediction models forecast that the ILI for the U.S. in 2018-2019 may be later and less severe than those in 2017-2018, judging from the influenza activity for Australia and Chile in 2018. It allows to estimate peak timing, peak intensity, and type-specific influenza activities for next season at 40th week. The correlation for seasonal influenza among Australia, Chile, and the U.S. could be used to decide on influenza vaccine strategy six months ahead in the U.S.",10.1101/705855,virology-deep-learning.xlsx,"Forecasting type-specific seasonal influenza after 26 weeks in the United States using influenza activities in other countries To identify countries that have seasonal patterns similar to the time series of influenza surveillance data in the United States and other countries, and to forecast the 2018-2019 seasonal influenza outbreak in the U.S. using linear regression, auto regressive integrated moving average, and deep learning. We collected the surveillance data of 164 countries from 2010 to 2018 using the FluNet database. Data for influenza-like illness (ILI) in the U.S. were collected from the Fluview database. This cross-correlation study identified the time lag between the two time-series. Deep learning was performed to forecast ILI, total influenza, A, and B viruses after 26 weeks in the U.S. The seasonal influenza patterns in Australia and Chile showed a high correlation with those of the U.S. 22 weeks and 28 weeks earlier, respectively. The R2 score of DNN models for ILI for validation set in 2015-2019 was 0.722 despite how hard it is to forecast 26 weeks ahead. Our prediction models forecast that the ILI for the U.S. in 2018-2019 may be later and less severe than those in 2017-2018, judging from the influenza activity for Australia and Chile in 2018. It allows to estimate peak timing, peak intensity, and type-specific influenza activities for next season at 40th week. The correlation for seasonal influenza among Australia, Chile, and the U.S. could be used to decide on influenza vaccine strategy six months ahead in the U.S.",1,1
