Sl. No,Authors,Year of publication,Primary affiliation of primary author,Title,Name of publication,Subdomain,Disease Name,doi,Type of evidence source,Research Aim,Research Problem,AI Objective,AI Methodology,AI Method Details,AI Method Type,Is software publicly released?,Software License,Virology AI task addressed,Type of Underlying Data,Dataset Name,Was Performance Measured,How was Performance measured and what was measured?,Performance metrics,Performance score
,,,,,,,,,,,,,,"GRU is a simplified variant of LSTM that combines the forget and input gates into a single update gate, reducing computational complexity while retaining the ability to model temporal dependencies. It lacks a separate memory cell, making it faster to train. Like LSTM, GRU was applied to the smoothed univariate COVID-19 case data. It performed better than LSTM in some cases (e.g., UK), but still did not outperform CNN models overall.",Gated Recurrent Unit (GRU),,,,,,,,,
,,,,,,,,,,,,,,"CNN was adapted for univariate time series forecasting in this study. The architecture included four convolutional layers, followed by a flatten layer and two dense (fully connected) layers. It was used to extract local patterns and short-term dependencies from the smoothed case data. CNN performed best overall across countries like Brazil and Russia, due to its strength in feature extraction even with limited or non-seasonal data. It was particularly effective at forecasting the timing and scale of upcoming COVID-19 waves.",Convolutional Neural Network (CNN),,,,,,,,,
,,,,,,,,,,,,,,"This model extends CNN to multivariate time series forecasting by incorporating multiple correlated features specifically, daily confirmed cases and daily deaths. This architecture used the same CNN structure but was trained on two input variables simultaneously to improve prediction accuracy. The Multivariate CNN demonstrated strong performance, closely rivaling the univariate CNN, and was shown for the first time in this study to be effective in COVID-19 forecasting.",Multivariate Convolutional Neural Network (Multivariate CNN),,,,,,,,,
15,"Paul, A.; Bhattacharjee, J. K.; Pal, A.; Chakraborty, S.",2021,"DESY, Notkestraße 85, D-22607 Hamburg, Germany",Emergence of universality in the transmission dynamics of COVID-19,MedRxiv,General Virology,"['COVID-19', 'Influenza', 'RSV', 'SARS-CoV-2']",10.1101/2021.01.29.21250750,Research,"To uncover universal patterns in the transmission dynamics of COVID-19 that transcend geopolitical, demographic, and policy differences by using scaling principles and data collapse, and to leverage these insights for improved forecasting and policy-making through both analytical (model-dependent) and data-driven (model-agnostic) methods.",Developing a model that can accurately predict the spread of infectious diseases,To construct a model-agnostic predictive framework using a deep neural network (DNN) that can learn from phase-1 COVID-19 case data and generalize to future phases. ,"The study uses a model-agnostic, data-driven forecasting approach to capture the universal dynamics in the spread of COVID-19. It trains a deep neural network (DNN) to learn the rescaled progression of infection cases from phase-1 data across multiple regions. This allows the model to generalize the disease progression without incorporating specific epidemiological parameters or region-specific assumptions. The methodology complements a mechanistic model (Blue Sky Model) and enables robust prediction of future case numbers once the peak of infections is reached in a given region.","The AI method employed in this study is a model-agnostic deep learning approach using a deep neural network (DNN) to capture universal transmission patterns in COVID-19 spread. The DNN is designed with three hidden layers, each containing 16 neurons, and uses sigmoid activation functions to model smooth, nonlinear dynamics similar to logistic growth. It is trained on rescaled phase-1 infection data where the time variable and case counts are normalized allowing it to generalize across regions regardless of population size or policy measures. The network is optimized using the Adam optimizer with a learning rate of 0.01 and mean squared error (MSE) as the loss function. To prevent overfitting, early stopping based on validation loss is applied, with a validation split of 20%. Once trained, the DNN can predict future case trajectories based on a single estimated parameter (t?/?) from the current phase of infection, enabling robust, data-driven forecasting without explicit epidemiological modeling. The method was implemented in TensorFlow and demonstrated strong agreement with predictions made by the Blue Sky Model, validating its effectiveness.",Deep Neural Network-based Universality Fit ,https://github.com/talismanbrandi/Universality-COVID-19.,MIT License, forecasting the transmission dynamics of COVID-19,COVID-19 case count data,Paul et.al,Yes,"The study measured the accuracy and reliability of forecasting COVID-19 case trajectories using both the Blue Sky Model (BSM) and a Deep Neural Network (DNN). Performance was assessed by comparing predicted infection curves against actual case data from multiple regions, focusing on how well the models captured the dynamics of Type I and Type II transmission. The primary evaluation involved visual fit, prediction error bands derived from uncertainties in peak timing and scaling parameters, and validation loss (mean squared error) during DNN training. While the study uses MSE during training, it does  not report standard machine learning metrics like precision, recall, F1-score, or R² explicitly.",,
16,"Yuan, Y.; Jahani, E.; Zhao, S.; Ahn, Y.-Y.; Pentland, A. S.",2022,"Krannert School of Management, Purdue University",Mobility network reveals the impact of spatial vaccination heterogeneity on COVID-19,MedRxiv,General Virology,['COVID-19'],10.1101/2021.10.26.21265488,Research,Developing a novel AI-based approach to optimize COVID-19 vaccine distribution by targeting high-risk areas and individuals.,Optimizing COVID-19 vaccine distribution to maximize coverage and minimize waste.,"To apply Bayesian deep learning and mobility-informed epidemic simulations to infer fine-grained (CBG-level) vaccination rates, model disease transmission under multiple spatial scenarios, and optimize a vaccination targeting policy using projected gradient descent on a differentiable surrogate function that accounts for both network structure and population susceptibility.","The study uses a Bayesian deep learning model to infer fine-grained vaccination rates at the Census Block Group (CBG) level from county-level data and applies these estimates in high-resolution epidemic simulations on mobility networks. A differentiable optimization algorithm is then applied to identify the most impactful CBGs to target for increased vaccination, based on network dynamics.","The AI method used in this study integrates Bayesian deep learning, fine-grained epidemic simulation, and constrained optimization to model and improve spatial vaccination strategies. First, a Bayesian neural network is employed to infer high-resolution vaccination rates at the Census Block Group (CBG) level from aggregated county-level data using demographic, geographic, and socioeconomic features. The model uses ReLU-activated layers with Gaussian priors and applies variational dropout and model ensembling to improve inference accuracy, validated against available zip code-level data. These CBG-level vaccination estimates are then used in a mobility-informed SEIR-based epidemic simulation that captures real-world human movement patterns through 2019 SafeGraph mobility data. The model accounts for vaccine efficacy, reinfection, and breakthrough cases. To optimize vaccine allocation, the study formulates a constrained optimization problem that minimizes the expected number of infections by adjusting vaccination rates in a limited number of CBGs. The objective function based on the unvaccinated population and mobility-driven transmission risk is solved using projected gradient descent under constraints that limit the vaccine supply and ensure feasibility. This pipeline enables the identification of spatially critical areas for targeted vaccination, leveraging both homophily and hub effects in the mobility network.",Bayesian Deep Learning-Driven Spatial Vaccination Optimization Framework,https://github.com/yuany94/covid-vaccine,MIT License,Forecasting and mitigation of infectious disease transmission (COVID-19) based on spatial vaccination distribution,"Mobility data, Vaccination data, Census data",Yuan et.al,Yes,"Performance in this study was measured through simulated reductions in COVID-19 case counts under various hypothetical vaccination distributions and campaign strategies, using a fine-grained SEIR-based epidemic model, no standard machine learning metrics (such as accuracy, precision, recall, F1 score, or AUC) were reported in this study. The key metric being evaluated was the number of new infections over a 30-day simulation period, reflecting the effectiveness of different spatial vaccine allocation strategies. Comparisons were made between the real-world (original) vaccination distribution and several counterfactual distributions designed to isolate the effects of homophily and hub centrality. Additionally, the study assessed the performance of the proposed optimized vaccination campaign by comparing its case reduction impact against four baseline strategies (uniform, random, least vaccinated, and most central). The simulations accounted for real-world parameters such as vaccine efficacy, reinfection, and breakthrough infection, and the results were averaged across multiple runs with standard deviation error bars. Thus, the main quantity being measured was the simulated infection burden, and performance was evaluated in terms of relative case count reductions, indicating how well different strategies could suppress disease spread under constrained resources.",,
17,"Cao, L.; Liu, Q.",2022,"School of Mathematical Sciences, Fudan University",COVID-19 Modeling: A Review,MedRxiv,Emerging & Re-emerging Viruses,"['SARS-CoV-2', 'COVID-19']",10.1101/2022.08.22.22279022,Research,COVID-19 modeling research,"Understanding COVID-19 dynamics, resurgence, and mutation",Artificial Intelligence for disease modeling and analysis,Machine learning and statistical models for predicting epidemic trends and disease transmission,"Combines Q-deformed entropy-based feature selection with deep learning feature extraction and LSTM classification. The hybrid pipeline improves interpretability and predictive performance. However, it may face overfitting risks due to small dataset size.",QDE-DF (Hybrid),No,No,"Multi-class classification (COVID-19, pneumonia, healthy) from CT",Medical Images (CT images),"Hospital triage datasets (proprietary, internal), COVID-19 Prognosis datasets (patient outcomes)",Yes,70/30 train-test split. Results averaged over multiple random splits to ensure stability.,{Accuracy},"{ ""accuracy"": 91,  ""Metric Name"": ""Mentioned but not provided""}"
18,"Du, H.; Dong, E.; Badr, H. S.; Petrone, M.; Grubaugh, N.; Gardner, L. M.",2022,"Center for Systems Science and Engineering, Johns Hopkins University, Baltimore, MD 21218, USA",A Deep Learning Approach to Forecast Short-Term COVID-19 Cases and Deaths in the US,MedRxiv,Emerging & Re-emerging Viruses,['SARS-CoV-2'],10.1101/2022.08.23.22279132,Research,"The aim of this study is to develop and evaluate a robust, multi-stage deep learning framework for short-term forecasting (1–4 weeks ahead) of COVID-19 cases and deaths at the US state level",To develop a forecasting model that can accurately predict COVID-19 transmission dynamics and inform public health decision-making, design and implement a multi-stage LSTM-based deep learning model that can iteratively predict weekly COVID-19 epidemiological outcomes by incorporating multiple time-varying and static features.,"The study uses a data-driven, supervised deep learning approach based on a multi-stage forecasting framework. The methodology combines sequence modeling via recurrent neural networks with iterative prediction, enabling multi-week-ahead forecasts of COVID-19 indicators such as incident cases and deaths. The model is trained and evaluated retrospectively using ground truth data, and performance is assessed across time, geography, and outbreak phase.","The AI method proposed in this study is a multi-stage Long Short-Term Memory (LSTM) network designed for short-term COVID-19 forecasting at the state level in the US. The framework consists of two parallel branches: a main model that predicts the target epidemiological variable (weekly incident cases or deaths), and a feature model that forecasts auxiliary input features (such as growth rates and mobility metrics) required for future predictions. The model operates iteratively, where each stage predicts outcomes one week ahead using the most recent observed and previously predicted data, progressively generating forecasts up to four weeks in advance. Both models share a similar architecture with one LSTM layer followed by two fully connected layers, and use a smoothed L1 loss function for training. Input features include a rich combination of time-varying and static data sources epidemiological, behavioral (survey), mobility, climate, demographic, and genomic surveillance preprocessed and aligned at the state-week level. ",Multi-Stage LSTM Forecasting Framework,No,No,emergence and spread of new variants,Epidemiological data,Du et.al,Yes,"The performance of the proposed multi-stage LSTM model was evaluated using three key error metrics: Absolute Error (AE), Percentage Absolute Error (PAE), and Weighted Interval Score (WIS). AE measures the raw difference between predicted and actual values, while PAE normalizes this difference by actual values to assess relative prediction accuracy. WIS, a probabilistic metric, evaluates the quality of the forecast distribution by incorporating uncertainty intervals. The model was assessed retrospectively over a 52-week period across all U.S. states, with evaluations conducted for different forecast horizons (1 to 4 weeks ahead). Performance was analyzed not only over time and geographic space but also as a function of outbreak phase (growth, decline, stability). The LSTM model consistently outperformed the CDC ensemble benchmark, especially during periods of rapid case growth or decline and for longer forecast windows. Additionally, a sensitivity analysis revealed how performance varied based on the input features used, and a case study showed that incorporating SARS-CoV-2 genomic variant data further improved prediction accuracy during the Delta variant wave.",{PAE_mean},"pae_mean = {""1_week"": 22, ""2_weeks"": 32, ""3_weeks"": 44, ""4_weeks"": 57}"
19,"Sharmin, M.; Manivannan, M.; Woo, D.; Sorel, O.; Auclair, J.; Gandhi, M.; Mujawar, I.",2023,"Thermo Fisher Scientific, South San Francisco, CA, United States",Cross-sectional Ct distributions from qPCR tests can provide an early warning signal for the spread of COVID-19 in communities,MedRxiv,Respiratory Virology,"['SARS-CoV-2', 'Respiratory infectious diseases']",10.1101/2023.01.12.23284489,Research, improve COVID-19 forecasting accuracy and enable earlier detection of epidemic waves by integrating PCR cycle threshold (Ct) values into forecasting models.,Improving early identification of surges in respiratory infectious diseases,"enhance a state-of-the-art deep learning forecasting model (?-AR) by integrating Ct-derived features such as viral load trends, incidence estimates, and reproductive number (Rt) to improve short-term forecasts of COVID-19 case incidence.","The study uses a deep learning-enhanced time-series forecasting approach, combining autoregression with recurrent neural networks (RNNs). This hybrid model is trained on multiple time-dependent and time-independent features, and is further enhanced with Ct-derived features from PCR tests to improve epidemic forecasting accuracy.","The forecasting model used in this study is a modified version of the ?-AR model, originally developed by Facebook/Meta. This model combines a recurrent neural network (RNN) to handle time-dependent inputs (like symptom surveys, mobility, weather, and testing volume) with an autoregressive (AR) component that uses confirmed case counts. In this study, the model is enhanced by incorporating Ct-derived features, including measures of central tendency and dispersion from Ct distributions, and epidemic metrics such as incidence and reproduction number (Rt), obtained from a Ct-based epidemiological model. These Ct features are measured weekly and integrated into the input data to provide the model with richer, biologically grounded signals. ","Ct-?-AR an enhanced version of the ?-AR (beta-autoregressive) forecasting model, augmented with features derived from PCR Ct values.",No,No,Forecasting epidemic trends of COVID-19,routine qPCR test results,Sharmin et.al,Yes,"The performance of the enhanced forecasting model, Ct-?-AR, was measured by evaluating its ability to accurately predict COVID-19 case incidence over 7-day and 14-day forecasting horizons. Specifically, the study measured two key error metrics: root mean square error (RMSE) and mean absolute error (MAE), by comparing the predicted case counts to the actual observed incidence. These evaluations were conducted on retrospective data from October 2020 to December 2021. The aim was to assess whether integrating Ct-derived features (such as median and skewness of Ct values, and Rt estimates) improved the forecasting performance of the original ?-AR model. What was being measured was the forecasting accuracy of predicted COVID-19 case trajectories, and whether the model could provide earlier and more reliable signals of upcoming epidemic waves compared to models relying only on case counts. Statistical significance of performance improvements was tested using the Wilcoxon signed-rank test.","{'MAE' , 'RMSE'}","{""AE_7_day"": 273.4, ""AE_14_day"": 679.6, ""RMSE_7_day"": 366.3, ""RMSE_14_day"": 828.8}"
20,"Nan, L.; Xin, W.; Boqian, W.; Renjie, M.; Yunxiang, Z.; Zili, C.; Yuan, J.; Junjie, Y.; Mingda, H.; Wei, C.; Hongguang, R.",2023,"Beijing Institute of Biotechnology, State Key Laboratory of Pathogen and Biosecurity, Beijing, China",Flu-CNN: predicting host tropism of influenza A viruses via character-level convolutional networks,MedRxiv,Zoonotic Virology,['Influenza A virus'],10.1101/2023.08.28.23294703,Research,"develop an efficient and scalable computational method to predict the host tropism of Influenza A viruses (IAVs), with a focus on identifying avian viruses that may infect humans.",Identifying key amino acid substitutions that affect IAV host adaptability and predicting zoonotic risk of viral strains.,"build a deep learning model (Flu-CNN) that can directly learn from viral genome sequences without manual feature extraction, to classify whether a virus strain is adapted to humans or avians.","The study follows a supervised deep learning methodology using character-level sequence encoding of viral genome data to classify host tropism. It trains a neural network on labeled data (avian vs. human hosts) using one-hot encoded amino acid sequences and evaluates it using standard classification metrics (accuracy, precision, recall, F1-score). The approach is designed to learn directly from raw sequence data without manual feature engineering.","The model architecture is based on a character-level Convolutional Neural Network (Char-CNN), adapted specifically for genomic sequence classification. The architecture includes six convolutional layers and three fully connected layers, with ReLU activations and dropout regularization to improve generalization. The model processes one-hot encoded amino acid sequences derived from IAV genomes to classify viral strains into human or avian host categories. The training procedure uses cross-entropy loss, and the best performing model on the validation set is used for final evaluation. Beyond classification, the model is also used for identifying zoonotic strains and pinpointing amino acid mutations that may influence host adaptation.",Flu-CNN,No,No,host tropism prediction,Influenza A virus genome sequences,Nan et.al,Yes,"The performance of the proposed Flu-CNN model was rigorously evaluated using a variety of standard classification metrics, including accuracy, precision, recall, and F1-score. These metrics were calculated based on predictions made on a separate test set consisting of 16,001 viral genomes. The model was assessed on both full-genome data and individual genomic segments, demonstrating consistently high accuracy across all settings. Comparative analyses were also conducted against existing methods such as ML-(d)nts, VIDHOP, FluPhenotype, and phylogenetic approaches, with Flu-CNN outperforming them in most cases, especially on critical subtypes like H5N1, H7N9, and H9N2. In addition to traditional performance metrics, the model’s interpretability and biological relevance were also explored through dimensionality reduction (UMAP) and mutation impact analysis, validating that the model could identify meaningful features related to host adaptation. This comprehensive evaluation confirms the robustness, generalizability, and biological significance of Flu-CNN in predicting IAV host tropism.","{""accuracy"": """", ""precision"": """", ""recall"": """", ""f1_score"": """"}","{""accuracy"": 0.99, ""precision"": 0.99, ""recall"": 0.99, ""f1_score"": 0.99}"
21,"Vabalas, A.; Hartonen, T.; Vartiainen, P.; Jukarainen, S.; Viippola, E.; Rodosthenous, R.; Liu, A.; Hagg, S.; Perola, M.; Ganna, A.",2023,"Institute for Molecular Medicine Finland (FIMM), HiLIFE, University of Helsinki, Helsinki, Finland",Deep learning-based prediction of one-year mortality in the entire Finnish population is an accurate but unfair digital marker of aging,MedRxiv,Respiratory Virology,"['SARS-CoV-2', 'Respiratory infectious diseases']",10.1101/2023.09.18.23295726,Research,"The primary aim of this study is to develop a highly accurate predictive model for short-term (one-year) mortality risk at a nationwide, population-wide scale, leveraging comprehensive multimodal data, to improve healthcare resource allocation, end-of-life care, and explore potential applications as a digital aging marker.",Developing a predictive model for mortality risk based on demographic and health data.,"build and validate a Deep Learning (DL) model specifically a recurrent neural network (RNN) with gated recurrent units (GRU) that integrates extensive longitudinal health and socioeconomic data spanning several decades to achieve accurate prediction of one-year all-cause mortality, significantly surpassing simpler predictive methods based solely on age and sex.","The study applies a deep learning-based methodology that leverages comprehensive, longitudinal, multi-modal data (medical, demographic, socioeconomic) from national registers. Specifically, a recurrent neural network (RNN) architecture is employed, integrating both fixed (time-invariant) and longitudinal (time-varying) features, to predict short-term (one-year) mortality risk across an entire national population.","The methodology involves developing a recurrent neural network (RNN) using gated recurrent units (GRU), capable of effectively modeling complex temporal interactions in large-scale longitudinal data. Inputs to the RNN include longitudinal features such as disease diagnoses, medication records, healthcare interactions, and detailed socioeconomic history, alongside static demographic information. Each individual’s longitudinal health and socioeconomic records were embedded year-by-year, maintaining temporal order. These embeddings, combined with fixed features (e.g., demographics), were used to train the network, which comprised approximately 2.9 million parameters. Hyperparameters were optimized through a Tree-structured Parzen Estimator algorithm. The model’s predictive accuracy was assessed using metrics such as Area Under the Receiver Operating Characteristic Curve (AUC-ROC), Area Under the Precision-Recall Curve (AUPRC), and calibration measures. Additionally, extensive fairness evaluations were conducted to assess model performance across sensitive socio-demographic subgroups.",Recurrent Neural Network (RNN) with Gated Recurrent Units (GRU),https://github.com/dsgelab/RNN,No,predicting COVID-19 mortality,Nationwide longitudinal register data from Finland,FinRegistry,Yes,"The performance of the model was assessed through a variety of evaluation metrics that measured both the accuracy and calibration of one-year mortality predictions. These included metrics to evaluate classification performance, such as the area under the ROC and precision-recall curves, as well as time-to-event metrics like the concordance index and time-dependent AUC. The model’s calibration was also examined using calibration curves and stratified survival analysis through Kaplan-Meier plots. What was being measured was the model's ability to accurately predict the likelihood of all-cause mortality within a one-year horizon, identify high-risk individuals, generalize across different causes of death including novel ones like COVID-19 and maintain fairness across demographic and socioeconomic subgroups. The evaluation also explored how predictive performance varied across subgroups defined by age, sex, income, geographic location, and other protected characteristics.","{'AUC_ROC', 'AUPRC', 'C_index', 'high_risk_group', 'COVID19_AUC', 'fairness_example'}","{""AUC_ROC"": {""RNN_model"": 0.944, ""baseline_model"": 0.897}, ""AUPRC"": {""RNN_model"": 0.223, ""baseline_model"": 0.119}, ""C_index"": {""RNN_model"": 0.942}, ""high_risk_group"": {""RNN_deaths_predicted_percentage"": 69.5, ""population_percentage"": 5.0}, ""COVID19_AUC"": {""RNN_model"": 0.956}, ""fairness_example"": {""low_pension_AUC"": 0.824, ""high_pension_AUC"": 0.874}}"
22,"Song, T.-H.; Clemente, L.; Pan, X.; Jang, J.; Santillana, M.; Lee, K.",2024,"Department of Bioinformatics & Biostatistics, University of Louisville, KY, USA.",Fine-Grained Forecasting of COVID-19 Trends at the County Level in the United States,MedRxiv,Respiratory Virology,['COVID-19'],10.1101/2024.01.13.24301248,Research,"The primary aim of this research is to enhance the accuracy of COVID-19 infection forecasting, particularly at fine-grained geographic levels (county, state, and national), to facilitate efficient public health management and timely implementation of COVID-19 prevention and control measures.","The core research problem addressed is the inherent difficulty of accurately forecasting COVID-19 infection trends due to their highly dynamic, transient, and noise-prone nature, compounded by factors such as local heterogeneity, rapid mutations, fluctuating intervention policies, and diverse vaccination rates.","The AI objective of this study is the development and deployment of the Fine-Grained Infection Forecast Network (FIGI-Net), a deep learning model based on stacked bidirectional Long Short-Term Memory (biLSTM) networks. ","The study employs a deep learning-based time-series forecasting methodology that utilizes fine-grained (county-level) infection data and integrates temporal clustering, transfer learning, and bidirectional sequence modeling to enhance the precision of short-term COVID-19 infection forecasts.","The Fine-Grained Infection Forecast Network (FIGI-Net) methodology involves a deep learning pipeline tailored for short-term forecasting of COVID-19 infections at fine-grained (county-level) resolution. Initially, the data are smoothed using a 7-day moving average to reduce noise. Then, temporal clustering is conducted by extracting autocorrelation and cross-correlation features from county-level time-series data, followed by dimensionality reduction through UMAP. Subsequently, a two-stage clustering process employing DBSCAN and spectral clustering identifies similar local infection dynamics, resulting in eight distinct county clusters. The core forecasting model employs a stacked bidirectional Long Short-Term Memory (biLSTM) neural network to effectively capture temporal dependencies and manage abrupt shifts in infection trends. Additionally, a transfer learning approach is adopted wherein a global biLSTM model is first trained on comprehensive national data, and its learned parameters are then fine-tuned on cluster-specific sub-models.",Fine-Grained Infection Forecast Network (FIGI-Net),No,No,forecasting of COVID-19 infection cases,county-level daily COVID-19 infection and death data,Song et.al,Yes,"The study measured the accuracy and effectiveness of short-term forecasts (from 1 day to up to 14 days ahead) of COVID-19 infection numbers at county, state, and national levels. Performance was evaluated using quantitative metrics such as Root Mean Square Error (RMSE), Relative RMSE (RRMSE), Mean Absolute Percentage Error (MAPE), and slope similarity. RMSE and RRMSE quantified the absolute and relative prediction error magnitudes, respectively, while MAPE provided an error measure expressed as a percentage. Additionally, slope similarity assessed the model’s capability to accurately forecast the trend direction of COVID-19 infections, particularly during critical periods of rapid growth or sudden changes. Statistical significance between model performances was further verified using a two-sided Wilcoxon rank sum test.","{'RMSE', 'RRMSE'}","{""county_level"": {""RMSE_reduction"": {""1_day"": 0.87, ""7_day"": 0.50, ""14_day"": 0.42}, ""median_RRMSE"": {""1_day"": 13.97, ""7_day"": 36.11}}, ""state_level"": {""RMSE"": {""7_day"": [1408.25, 1544.87], ""14_day"": [2292.83, 2924.04]}, ""RMSE_reduction"": {""7_day"": 0.5601, ""14_day"": 0.4115}}, ""national_level_RRMSE_reduction"": {""1_day"": 0.8648, ""7_day"": 0.6098, ""14_day"": 0.538}}"
23,"Jarynowski, A.; Semenov, A.; Kaminski, M.; Belik, V.",2021,"System Modeling Group, Institute of Veterinary Epidemiology and Biostatistics, Freie Universität Berlin, Berlin, Germany",Mild Adverse Events of Sputnik V Vaccine Extracted from Russian Language Telegram Posts via BERT Deep Learning Model,MedRxiv,Emerging & Re-emerging Viruses,['COVID-19'],10.1101/2021.06.14.21258875,Research,"To enhance transparency and understanding of the mild adverse events (AEs) associated with the Sputnik V COVID-19 vaccine by analyzing self-reported symptoms collected from a Russian-language Telegram group, and comparing them with clinical trial data and official post-marketing surveillance databases.",The study aimed to increase transparency regarding the safety and efficacy of Sputnik V by analyzing reports from a Telegram group.,"To apply natural language processing (NLP) techniques, specifically multi-label classification using a fine-tuned BERT model, to extract and classify self-reported adverse events from Telegram messages, enabling automated analysis of user-generated health data.","The study used a supervised natural language processing pipeline for multi-label text classification. The process involved labeling adverse event entities in Telegram messages and training a machine learning model to predict multiple symptoms per message. The methodology combined manual annotation, preprocessing (sentence splitting, entity extraction), and the use of transformer-based deep learning models tailored for the Russian language.","The researchers manually annotated 1,000 Telegram messages using LabelStudio, creating a dataset of over 4,500 labeled adverse event (AE) entities. They then framed the task as a multi-label classification problem, where each message could be associated with multiple AEs. For modeling, they fine-tuned a pre-trained Russian-language BERT model from DeepPavlov with a final layer of 12 sigmoid neurons (one per AE class), using binary cross-entropy as the loss function. They trained the model using stratified 5-fold cross-validation and applied class upsampling to address label imbalance. ",Russian BERT (DeepPavlov) – Multi-label Classification for AE Detection, https://github.com/ai-forever/AEROS,Apache License 2.0,vaccine safety monitoring,self-reported adverse event (AE) messages,Jarynowski et.al,Yes,"Performance was measured by evaluating the model’s ability to accurately detect multiple adverse events (AEs) from Telegram messages using standard multi-label classification metrics, including micro/macro precision, recall, F1-score, and AUC. The BERT model was trained using 5-fold cross-validation with class upsampling and achieved strong results, with an AUC of 0.991, demonstrating high effectiveness in identifying symptom categories from user-reported vaccine reactions.","{""micro_accuracy"" , ""auc""}","{""micro_accuracy"": 0.94, ""auc"": 0.991}"
24,"Wright, L.; Paul, E.; Steptoe, A.; Fancourt, D.",2021,"Institute of Education, University College London","Facilitators and Barriers to Compliance with COVID-19 Guidelines: A Structural Topic Modelling Analysis of Free-Text Data from 17,500 UK Adults",MedRxiv,Emerging & Re-emerging Viruses,['SARS-CoV-2'],10.1101/2021.06.28.21259621,Research,"To identify and understand the key facilitators and barriers influencing citizens’ compliance with COVID-19 guidelines in the UK, using large-scale qualitative data to uncover behavioral insights that can inform public health policy.","Traditional compliance studies rely heavily on structured quantitative data, which limits the discovery of unanticipated factors influencing behavior. ","To apply Structural Topic Modeling (STM) to analyze over 26,000 free-text responses, enabling the extraction of latent themes related to compliance behavior and linking these topics to participant characteristics for deeper behavioral insights.","The study employed an unsupervised machine learning approach to analyze large-scale qualitative data. Specifically, it used a probabilistic topic modeling technique to uncover latent thematic structures in unstructured free-text survey responses. The method allows researchers to model documents as mixtures of topics, where each topic is a distribution over words, enabling scalable qualitative analysis across thousands of responses.","The method used was Structural Topic Modeling (STM), implemented in R using the stm package. STM enhances traditional topic modeling by allowing metadata (such as age, gender, education, personality traits, and confidence in government) to inform the model. This enables the model to not only extract topics but also examine how topic prevalence varies with respondent characteristics. Data preprocessing steps included tokenization, stemming, spell-checking, stop-word removal, and response filtering. The number of topics was selected based on semantic coherence and exclusivity metrics, supported by manual inspection of representative documents.",Structural Topic Modeling (STM),https://osf.io/nf4m9/,No,behavioral compliance with public health guideline,free-text survey responses,Wright et.al,Yes,"Performance was measured by evaluating the coherence and exclusivity of topics generated via Structural Topic Modelling (STM), along with regression analyses linking topics to participant traits. No standard ML metrics like accuracy or F1-score were used, as the focus was on interpretability and thematic relevance, not classification.",,
25,"Wright, L.; Fluharty, M. E.; Steptoe, A.; Fancourt, D.",2022,"Institute of Education, University College London","How did people cope during the COVID-19 pandemic? A Structural Topic Modelling Analysis of Free-Text Data from 11,000 UK Adults",MedRxiv,General Virology,"['SARS-CoV-2', 'Respiratory infectious diseases']",10.1101/2021.08.13.21262002,Research,"To identify and analyze the coping strategies employed by UK adults during the COVID-19 pandemic using large-scale free-text responses, and to explore how these strategies vary across demographic, socioeconomic, personality, and health-related factors, as well as their association with individuals’ lockdown experiences.",The study aimed to investigate the relationship between social media use and mental health outcomes in young adults.,"To apply Structural Topic Modelling (STM) a text mining and unsupervised machine learning method to extract latent themes (coping strategies) from large-scale open-ended text responses, and quantitatively relate these topics to participant metadata such as demographics, personality traits, and lockdown experiences.","The study uses an unsupervised machine learning approach for natural language processing, specifically probabilistic topic modeling through Structural Topic Modelling (STM). Unlike traditional models such as LDA, STM allows integration of structured metadata (e.g., demographics, personality traits) into the modeling process, enabling researchers to analyze how the distribution of discovered topics varies across participant subgroups. This approach is particularly suitable for large-scale text mining in social science and behavioral research, where open-ended responses need to be explored both qualitatively and quantitatively.","The STM model was applied to free-text responses from over 11,000 participants in the UK COVID-19 Social Study. Text was preprocessed by removing stopwords, correcting spelling errors, and applying stemming using the Porter algorithm. The stm R package was used to train topic models across a range of 2 to 30 topics, with 16 topics selected based on semantic coherence, exclusivity, and manual review of exemplar texts. Participant-level covariates such as age, gender, education, health status, and Big-5 personality traits were incorporated into the STM to model topic prevalence. Post-modeling regression analysis was then conducted to assess how different coping strategies were associated with personal characteristics and lockdown experiences.",Structural Topic Modelling (STM) using the stm R package.,https://osf.io/xqu8h/,No,Psychosocial coping during the COVID-19 pandemic,weekly and monthly survey data on the psychological and social experiences of adults during the COVID-19 pandemic,Wright et.al,Yes,"No standard ML performance metrics (e.g., accuracy, F1-score) were measured.  Instead, the evaluation focused on the quality of the topic modeling output. The researchers assessed how well the Structural Topic Model (STM) captured meaningful themes from the text by using semantic coherence (how often top words in a topic appear together), exclusivity (how distinct the top words of each topic are from other topics), and qualitative review of exemplar texts. Additionally, the study measured how well the topics aligned with participant characteristics and lockdown experiences by running regression analyses. Thus, what was being measured was the interpretability, distinctiveness, and relevance of the extracted coping strategy topics and how their usage varied across demographic, psychological, and contextual factors.",,
